seed,disjoint_training_windows,n_samples,n_windows,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1673368705,True,50,25,0,0,0.35808952238059516,0.3328332083020755,0.5586396599149788,0.49987496874218557,0.3092275203010975,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1673368735,True,50,50,0,0,0.35808952238059516,0.3328332083020755,0.5586396599149788,0.49987496874218557,0.3092275203010975,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1673368764,True,50,100,0,0,0.35808952238059516,0.3328332083020755,0.5586396599149788,0.49987496874218557,0.3092275203010975,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1673368793,True,100,25,0,0,0.35808952238059516,0.3328332083020755,0.5586396599149788,0.49987496874218557,0.3092275203010975,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1673368822,True,100,50,0,0,0.35808952238059516,0.3328332083020755,0.5586396599149788,0.49987496874218557,0.3092275203010975,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1673368852,True,100,100,0,0,0.35808952238059516,0.3328332083020755,0.5586396599149788,0.49987496874218557,0.3092275203010975,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1673368881,True,250,25,0,0,0.35808952238059516,0.3328332083020755,0.5586396599149788,0.49987496874218557,0.3092275203010975,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1673368910,True,250,50,0,0,0.35808952238059516,0.3328332083020755,0.5586396599149788,0.49987496874218557,0.3092275203010975,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1673368939,True,250,100,0,0,0.35808952238059516,0.3328332083020755,0.5586396599149788,0.49987496874218557,0.3092275203010975,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1673368968,True,500,25,0,0,0.35808952238059516,0.3328332083020755,0.5586396599149788,0.49987496874218557,0.3092275203010975,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1673368997,True,500,50,0,0,0.35808952238059516,0.3328332083020755,0.5586396599149788,0.49987496874218557,0.3092275203010975,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1673369026,True,500,100,0,0,0.35808952238059516,0.3328332083020755,0.5586396599149788,0.49987496874218557,0.3092275203010975,0.2535892231258899,0.5215622611803485,0.4329060673446733,[]
1673369055,False,100,50,0.011905754216331861,0.004084354421938819,0.35808952238059516,0.3328332083020755,0.7866966741685422,0.479869967491873,0.3092275203010975,0.2535892231258899,0.7885136232476608,0.4512690641519133,"[150, 251, 376, 480, 586, 730, 845, 974, 1075, 1176, 1277, 1389, 1515, 1616, 1717, 1818, 1919, 2020, 2122, 2244, 2345, 2446, 2547, 2648, 2749, 2856, 2983, 3084, 3194, 3364, 3465, 3566, 3667, 3768, 3875, 3990]"
1673369071,False,100,100,0.01742481074814158,0.004364727545522743,0.35808952238059516,0.3328332083020755,0.7414353588397099,0.4288572143035759,0.3092275203010975,0.2535892231258899,0.7447661384910588,0.4009449530880804,"[200, 301, 543, 644, 784, 885, 1014, 1135, 1236, 1629, 1774, 2028, 2129, 2369, 2555, 2758, 2869, 3137, 3238, 3346, 3447, 3728]"
