seed,disjoint_training_windows,n_samples,n_windows,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1669977161,True,50,25,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669977163,True,50,50,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669977165,True,50,100,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669977166,True,100,25,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669977168,True,100,50,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669977170,True,100,100,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669977171,True,250,25,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669977173,True,250,50,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669977175,True,250,100,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669977176,True,500,25,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669977178,True,500,50,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669977180,True,500,100,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669977182,False,100,50,-0.02631578947368418,0.001052631578947416,0.9752631578947368,0.5563157894736842,0.9489473684210527,0.5573684210526316,0.9752408746819505,0.43338256493707483,0.9488676955089301,0.43891419239143903,[1509]
1669977184,False,100,100,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669977186,False,100,250,0,0,0.9752631578947368,0.5563157894736842,0.9752631578947368,0.5563157894736842,0.9752408746819505,0.43338256493707483,0.9752408746819505,0.43338256493707483,[]
1669977188,False,250,50,-0.020657894736842097,0.028026315789473677,0.9752631578947368,0.5563157894736842,0.8926315789473684,0.6684210526315789,0.9752408746819505,0.43338256493707483,0.8924213087963621,0.6399831089819552,"[604, 882, 1434, 1685]"
1669977190,False,250,100,-0.017017543859649115,0.04035087719298247,0.9752631578947368,0.5563157894736842,0.9242105263157895,0.6773684210526316,0.9752408746819505,0.43338256493707483,0.9240690971216192,0.6484428647967462,"[923, 1479, 1730]"
1669977192,False,250,250,-0.022631578947368447,0.02947368421052632,0.9752631578947368,0.5563157894736842,0.9526315789473684,0.5857894736842105,0.9752408746819505,0.43338256493707483,0.9525842945874002,0.5076311735026346,[1615]
1669977194,False,500,50,-0.021842105263157885,0.03052631578947368,0.9752631578947368,0.5563157894736842,0.9315789473684211,0.6173684210526316,0.9752408746819505,0.43338256493707483,0.931501226876811,0.5602040897549172,"[1187, 1688]"
1669977196,False,500,100,-0.020000000000000018,-0.0031578947368421373,0.9752631578947368,0.5563157894736842,0.9552631578947368,0.5531578947368421,0.9752408746819505,0.43338256493707483,0.9552309018215064,0.43006263269301503,[1485]
1669977199,False,500,250,-0.023684210526315752,0.03947368421052633,0.9752631578947368,0.5563157894736842,0.9515789473684211,0.5957894736842105,0.9752408746819505,0.43338256493707483,0.9515368475218362,0.5197573510826523,[1596]
1669977201,False,1000,50,-0.022631578947368447,0.00736842105263158,0.9752631578947368,0.5563157894736842,0.9526315789473684,0.5636842105263158,0.9752408746819505,0.43338256493707483,0.952563459549669,0.45224410904205836,[1349]
1669977203,False,1000,100,-0.02421052631578946,0.007894736842105288,0.9752631578947368,0.5563157894736842,0.9510526315789474,0.5642105263157895,0.9752408746819505,0.43338256493707483,0.950991690220887,0.45257836564090637,[1354]
1669977205,False,1000,250,-0.023684210526315752,0.03947368421052633,0.9752631578947368,0.5563157894736842,0.9515789473684211,0.5957894736842105,0.9752408746819505,0.43338256493707483,0.9515368475218362,0.5197573510826523,[1596]
