seed,disjoint_training_windows,n_samples,n_windows,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1661473179,False,100,50,0.0005648768147243043,0.0006008361294430808,0.3058823529411765,0.30024379571169596,0.6572357316996937,0.6739638682252922,0.2824474041486233,0.26444543334786724,0.6562778189148822,0.6727014301684885,1.9745743755436809,128.34733441033924,65.0,0.0,"[441, 555, 824, 925, 1075, 1176, 1442, 1543, 1644, 1745, 2068, 2169, 2307, 2739, 2853, 2994, 3095, 3196, 3297, 3441, 3627, 3818, 3919, 4329, 4471, 4584, 4862, 4963, 5064, 5477, 6190, 6393, 6494, 6635, 6737, 6838, 6946, 7082, 7183, 7418, 7521, 7654, 7755, 7856, 7957, 8058, 8245, 8357, 8458, 8559, 8660, 8761, 8878, 9014, 9126, 9232, 9351, 9452, 9553, 9813, 9914, 10148, 10294, 10395, 10540, 10641, 10872, 11148, 11318, 11419, 11587, 11688, 11789, 12119, 12220, 12328, 12559, 12660, 12761, 12862, 12963, 13064, 13165, 13266, 13399, 13500, 13601, 13720, 13821, 13954, 14055, 14175, 14276, 14424, 14530, 14631, 14732, 14837, 14938, 15073, 15174, 15275, 15376, 15477, 15578, 15679, 15780, 15881, 15982, 16083, 16184, 16285, 16386, 16487, 16588, 16689, 16790, 16891, 16992, 17093, 17194, 17295, 17396, 17497, 17598, 17699, 17800, 17901, 18002, 18103, 18204, 18305, 18406, 18507, 18608, 18709, 18810, 18911, 19012, 19113, 19214, 19315, 19416, 19517, 19618, 19719, 19820, 19921, 20022, 20123, 20224, 20325, 20426, 20527, 20642, 20743, 20844, 20947, 21048, 21149, 21250, 21351, 21452, 21553, 21654, 21755, 21856, 21979, 22080, 22181, 22282, 22383, 22484, 22585, 22686, 22787, 22888, 22989, 23090, 23191, 23292, 23393, 23494, 23595, 23696, 23797, 23898, 23999, 24100, 24201, 24302, 24403, 24504, 24605, 24706, 24807, 24908, 25009, 25110, 25211, 25312, 25413, 25514, 25615, 25716, 25817, 25918, 26019, 26120, 26221, 26322, 26423, 26524, 26625, 26809, 26960, 27250, 27462, 27934, 28277, 28679, 28832, 28995, 29134, 29253, 29423, 29524, 29632, 29733, 29960, 30061, 30542, 30692, 30806, 30909, 31050, 31228, 31329, 31804, 31905, 32006, 32124, 32225, 32330, 32431, 32663, 32995, 33096, 33272, 33499, 34130, 34286, 34387, 34778, 34879, 35039, 35140, 35241, 35344, 35835, 35936, 36037, 36138, 36251, 36376, 36477, 36580, 36692, 36896, 36997, 37103, 37204, 37305, 37406, 37507, 37608, 37710, 37811, 37912, 38096, 38209, 38310, 38411, 38512, 38613, 38829, 38932, 39109, 39311, 39412, 39513, 39614, 39715, 39822, 39955, 40056, 40157, 40258, 40564, 40665, 40766, 40867, 41030, 41131, 41232, 41333, 41603, 41704, 41805, 41906, 42007, 42108, 42209, 42310, 42411, 42512, 42613, 42714, 42815, 42916, 43017, 43118, 43219, 43320, 43421, 43522, 43623, 43724, 43825, 43927, 44028, 44129, 44230, 44331, 44432, 44533, 44634, 44735, 44844, 44945, 45046, 45147, 45248, 45349, 45450, 45551, 45652, 45758, 45859, 45960, 46061, 46162, 46263, 46364, 46465, 46566, 46667, 46768, 46869, 46970, 47071, 47172, 47275, 47376, 47477, 47578, 47679, 47780, 47881, 47982, 48083, 48184, 48285, 48386, 48487, 48588, 48689, 48790, 48891, 48992, 49094, 49195, 49296, 49397, 49498, 49599, 49700, 49801, 49902, 50003, 50104, 50205, 50306, 50407, 50508, 50609, 50710, 50811, 50912, 51013, 51114, 51215, 51316, 51417, 51518, 51619, 51720, 51821, 51922, 52023, 52124, 52225, 52326, 52427, 52528, 52629, 52730, 52831, 52932, 53033, 53134, 53235, 53336, 53437, 53636, 54168, 54282, 54383, 54484, 54606, 54861, 55287, 55457, 55792, 56046, 56161, 56262, 56513, 56683, 56811, 57026, 57149, 57388, 57489, 57845, 57946, 58047, 58148, 58380, 58481, 58695, 58796, 59345, 59633, 59775, 59880, 60001, 60310, 60656, 60757, 60865, 61079, 61237, 61338, 61439, 61540, 61990, 62091, 62403, 62528, 62629, 62834, 62982, 63083, 63184, 63356, 63457, 63558, 63763, 63864, 63965, 64271, 64372, 64517, 64618, 64719, 64820, 64924, 65028, 65129, 65238, 65339, 65596, 65701, 65808, 66296, 66405, 66546, 66647, 66872, 66973, 67083, 67184, 67285, 67386, 67487, 67613, 67714, 67877, 67978, 68079, 68446, 68547, 68648, 68749, 68850, 68951, 69052, 69153, 69254, 69355, 69456, 69561, 69662, 69763, 69864, 69965, 70066, 70167, 70268, 70369, 70470, 70571, 70672, 70773, 70874, 70975, 71076, 71177, 71278, 71379, 71480, 71581, 71682, 71783, 71884, 71985, 72086, 72187, 72288, 72389, 72490, 72605, 72737, 72838, 72945, 73046, 73213, 73364, 73465, 73566, 73667, 73808, 73947, 74048, 74224, 74325, 74426, 74527, 74628, 74729, 74830, 74931, 75032, 75133, 75234, 75335, 75443, 75544, 75645, 75746, 75847, 75949, 76050, 76151, 76252, 76353, 76454, 76555, 76656, 76757, 76858, 76959, 77060, 77161, 77262, 77363, 77464, 77565, 77666, 77767, 77868, 77969, 78070, 78171, 78272, 78373, 78474, 78575, 78676, 78777, 78878, 78979, 79080, 79181, 79282, 79383, 79484, 79585, 79686, 79787, 79888]"
1661473334,False,100,100,0.0007685735947284987,0.0008065614866890105,0.3058823529411765,0.30024379571169596,0.6655747952741139,0.6777145714821529,0.2824474041486233,0.26444543334786724,0.6631918853381599,0.6746769731075203,5.002466793168881,170.08387096774194,34.0,0.0,"[860, 1093, 1445, 1649, 2069, 2170, 2838, 3088, 3239, 3627, 3913, 4499, 4945, 6446, 6745, 6865, 7101, 7456, 7717, 7818, 7919, 8020, 8301, 8423, 8524, 8640, 8932, 9379, 9480, 9857, 10321, 10616, 11350, 11597, 11723, 12157, 12362, 12611, 12712, 12853, 12995, 13096, 13410, 13652, 13780, 14018, 14199, 14549, 14650, 14751, 14908, 15110, 15211, 15312, 15413, 15514, 15615, 15716, 15817, 15918, 16019, 16120, 16221, 16322, 16423, 16524, 16625, 16726, 16827, 16928, 17085, 17186, 17287, 17388, 17534, 17635, 17736, 17837, 17938, 18039, 18140, 18244, 18345, 18446, 18547, 18648, 18749, 18850, 18954, 19055, 19165, 19325, 19426, 19527, 19699, 19800, 19901, 20003, 20108, 20209, 20310, 20421, 20522, 20684, 20785, 20982, 21083, 21191, 21292, 21393, 21495, 21596, 21697, 21799, 21901, 22025, 22126, 22227, 22328, 22429, 22530, 22631, 22732, 22878, 22979, 23080, 23181, 23282, 23383, 23484, 23585, 23686, 23787, 23888, 23989, 24090, 24191, 24292, 24393, 24494, 24595, 24696, 24797, 24898, 24999, 25100, 25201, 25302, 25403, 25504, 25605, 25706, 25807, 25908, 26009, 26110, 26211, 26312, 26413, 26514, 26615, 26835, 28296, 29159, 29260, 29423, 30032, 30834, 31244, 31837, 31938, 32351, 33024, 34300, 34404, 34849, 35061, 35162, 35277, 35853, 36040, 36141, 36406, 36516, 36909, 37118, 37286, 37396, 37505, 37606, 37784, 37885, 38290, 38432, 38549, 38650, 39155, 39330, 39513, 39623, 39724, 39842, 39966, 40245, 40662, 40781, 40882, 41176, 41277, 41638, 41766, 41867, 41968, 42069, 42170, 42271, 42372, 42473, 42574, 42675, 42776, 42877, 42978, 43079, 43180, 43281, 43382, 43483, 43584, 43694, 43795, 43896, 43997, 44099, 44200, 44357, 44458, 44560, 44661, 44762, 44863, 44964, 45065, 45219, 45320, 45421, 45599, 45705, 45807, 45908, 46009, 46110, 46243, 46344, 46445, 46546, 46647, 46748, 46849, 46950, 47051, 47152, 47253, 47397, 47498, 47599, 47700, 47801, 47902, 48003, 48104, 48205, 48306, 48407, 48508, 48610, 48759, 48860, 48961, 49101, 49202, 49303, 49435, 49536, 49637, 49749, 49850, 49951, 50052, 50153, 50254, 50355, 50456, 50557, 50658, 50759, 50860, 50961, 51062, 51163, 51264, 51365, 51466, 51567, 51668, 51769, 51870, 51971, 52072, 52173, 52274, 52375, 52476, 52577, 52678, 52779, 52880, 52981, 53082, 53183, 53284, 53385, 54387, 55301, 56077, 56884, 57430, 57865, 57972, 58095, 58391, 58716, 59860, 60675, 61305, 61406, 61553, 62002, 62404, 62570, 62671, 63004, 63105, 63210, 63412, 63544, 63773, 63874, 64327, 64538, 64642, 64743, 64844, 65281, 65607, 66486, 66704, 66953, 67087, 67228, 67332, 67464, 67625, 67987, 68088, 68486, 68587, 68688, 68789, 68890, 68991, 69092, 69193, 69297, 69398, 69499, 69601, 69702, 69803, 69904, 70005, 70106, 70207, 70308, 70434, 70535, 70636, 70737, 70838, 70939, 71040, 71141, 71242, 71343, 71444, 71545, 71646, 71747, 71848, 72035, 72180, 72281, 72382, 72483, 72670, 72777, 72991, 73092, 73377, 73478, 73579, 73683, 74310, 74411, 74512, 74613, 74714, 74815, 74930, 75031, 75132, 75233, 75334, 75477, 75589, 75707, 75808, 75909, 76010, 76111, 76212, 76313, 76414, 76515, 76616, 76717, 76818, 76919, 77020, 77121, 77222, 77323, 77424, 77525, 77626, 77727, 77828, 77929, 78030, 78131, 78232, 78333, 78434, 78535, 78636, 78737, 78838, 78939, 79040, 79141, 79242, 79343, 79444, 79545, 79646, 79747, 79848, 79949]"
1661473496,False,100,250,0.0015355057496517109,0.0015800161700443315,0.3058823529411765,0.30024379571169596,0.6759392386072388,0.6810276926923798,0.2824474041486233,0.26444543334786724,0.6645914988986011,0.6695908810119716,5.279731092436975,329.98319327731093,62.5,0.0,"[1445, 2119, 7123, 8472, 12698, 13034, 14612, 14715, 15263, 15364, 15465, 15566, 15773, 15892, 16435, 16536, 16637, 16738, 16839, 16940, 17118, 17260, 17361, 17630, 17731, 17904, 18126, 18336, 18437, 18980, 19378, 19740, 19843, 20040, 20227, 20330, 20486, 20715, 21240, 21358, 21625, 22068, 22582, 23003, 23104, 23205, 23306, 23407, 23508, 23609, 23710, 23811, 23912, 24013, 24114, 24215, 24316, 24417, 24518, 24619, 24720, 24821, 24922, 25023, 25124, 25225, 25326, 25427, 25528, 25629, 25730, 25831, 25932, 26033, 26134, 26235, 26336, 26437, 26538, 26639, 29423, 31291, 31926, 36452, 37868, 39352, 40711, 40814, 41814, 41915, 42016, 42117, 42218, 42534, 42635, 43017, 43129, 43259, 43360, 43461, 43745, 44035, 44168, 44409, 44510, 44623, 44724, 44871, 45665, 45850, 45951, 46063, 46404, 46603, 47173, 47563, 47664, 47765, 48005, 48177, 48278, 48383, 48489, 48808, 48913, 49600, 49782, 49883, 49984, 50085, 50186, 50287, 50388, 50489, 50590, 50691, 50792, 50893, 50994, 51095, 51196, 51297, 51398, 51499, 51600, 51701, 51802, 51903, 52004, 52105, 52206, 52307, 52408, 52509, 52610, 52711, 52812, 52913, 53014, 53115, 53216, 53317, 53418, 62032, 63069, 63844, 68603, 68704, 68806, 68907, 69008, 69138, 69316, 69417, 69634, 69808, 69915, 70017, 70118, 70233, 70511, 70612, 70728, 70845, 70946, 71072, 71201, 71302, 71457, 71558, 71659, 71760, 71861, 72203, 72406, 73028, 73453, 73554, 74382, 74582, 74946, 75222, 75761, 76243, 76345, 76446, 76547, 76648, 76749, 76850, 76951, 77052, 77153, 77254, 77355, 77456, 77557, 77658, 77759, 77860, 77961, 78062, 78163, 78264, 78365, 78466, 78567, 78668, 78769, 78870, 78971, 79072, 79173, 79274, 79375, 79476, 79577, 79678, 79779, 79880, 79981]"
1661473673,False,250,50,0.001155415053020854,0.001206218229410078,0.3058823529411765,0.30024379571169596,0.6698380946427455,0.6802025379758705,0.2824474041486233,0.26444543334786724,0.6655205505341892,0.6760198472915616,2.0172291476639304,255.1794871794872,126.5,0.0,"[367, 618, 869, 1120, 1445, 1696, 1947, 2198, 2449, 2700, 2951, 3202, 3453, 3704, 3955, 4206, 4457, 4708, 4959, 5210, 5461, 5976, 6227, 6478, 6729, 6980, 7231, 7482, 7733, 7984, 8235, 8486, 8737, 8988, 9239, 9490, 9741, 9992, 10243, 10494, 10745, 10996, 11269, 11520, 11771, 12022, 12273, 12524, 12775, 13026, 13277, 13528, 13779, 14030, 14281, 14532, 14783, 15034, 15285, 15536, 15787, 16038, 16289, 16540, 16791, 17042, 17293, 17544, 17795, 18046, 18297, 18548, 18799, 19050, 19301, 19552, 19803, 20054, 20305, 20556, 20807, 21058, 21309, 21560, 21811, 22062, 22313, 22564, 22815, 23066, 23317, 23568, 23819, 24070, 24321, 24572, 24823, 25074, 25325, 25576, 25827, 26078, 26329, 26580, 26870, 27121, 27372, 27623, 27877, 28128, 28379, 28630, 28881, 29132, 29383, 29634, 29885, 30136, 30387, 30638, 30889, 31140, 31391, 31642, 31893, 32144, 32395, 32646, 32997, 33248, 33499, 33752, 34013, 34264, 34515, 34766, 35017, 35268, 35519, 35774, 36025, 36276, 36527, 36778, 37029, 37280, 37531, 37782, 38033, 38284, 38535, 38786, 39037, 39288, 39539, 39790, 40041, 40292, 40546, 40797, 41048, 41299, 41557, 41808, 42059, 42310, 42561, 42812, 43063, 43314, 43565, 43816, 44067, 44318, 44569, 44820, 45071, 45322, 45573, 45824, 46075, 46326, 46577, 46828, 47079, 47330, 47581, 47832, 48083, 48334, 48585, 48836, 49087, 49338, 49589, 49840, 50091, 50342, 50593, 50844, 51095, 51346, 51597, 51848, 52099, 52350, 52601, 52852, 53103, 53354, 53605, 53856, 54107, 54358, 54609, 54861, 55112, 55414, 55665, 55916, 56167, 56418, 56669, 56920, 57171, 57422, 57673, 57924, 58175, 58426, 58677, 58928, 59269, 59520, 59771, 60022, 60273, 60656, 60907, 61158, 61409, 61660, 61911, 62162, 62413, 62664, 62915, 63166, 63417, 63668, 63919, 64170, 64421, 64672, 64923, 65174, 65425, 65676, 65927, 66178, 66429, 66680, 66931, 67182, 67433, 67684, 67935, 68186, 68437, 68688, 68939, 69190, 69441, 69692, 69943, 70194, 70445, 70696, 70947, 71198, 71449, 71700, 71951, 72202, 72453, 72704, 72955, 73206, 73457, 73708, 73959, 74210, 74461, 74712, 74963, 75214, 75465, 75716, 75967, 76218, 76469, 76720, 76971, 77222, 77473, 77724, 77975, 78226, 78477, 78728, 78979, 79230, 79481, 79732, 79983]"
1661473834,False,250,100,0.001220103769456773,0.001270946635827551,0.3058823529411765,0.30024379571169596,0.6719134837782084,0.6815277864599613,0.2824474041486233,0.26444543334786724,0.6679853549685109,0.6771343783655221,2.582670505375819,267.3063973063973,103.5,0.0,"[526, 832, 1083, 1445, 1698, 2070, 2321, 2739, 2990, 3241, 3492, 3743, 3994, 4349, 4600, 4862, 5113, 5493, 6160, 6447, 6698, 6949, 7200, 7451, 7702, 7953, 8204, 8455, 8706, 8957, 9208, 9459, 9710, 9961, 10216, 10467, 10718, 10969, 11318, 11569, 11820, 12119, 12370, 12621, 12872, 13123, 13374, 13625, 13876, 14127, 14378, 14629, 14880, 15131, 15382, 15633, 15884, 16135, 16386, 16637, 16888, 17139, 17390, 17641, 17892, 18143, 18394, 18645, 18896, 19147, 19398, 19649, 19900, 20151, 20402, 20653, 20904, 21155, 21406, 21657, 21908, 22159, 22410, 22661, 22912, 23163, 23414, 23665, 23916, 24167, 24418, 24669, 24920, 25171, 25422, 25673, 25924, 26175, 26426, 26677, 26928, 27179, 27430, 27946, 28275, 28701, 28959, 29210, 29461, 29712, 29963, 30225, 30532, 30783, 31034, 31285, 31815, 32066, 32317, 32568, 33025, 33276, 33527, 34100, 34351, 34602, 34853, 35104, 35355, 35822, 36073, 36324, 36575, 36835, 37086, 37337, 37588, 37839, 38090, 38341, 38592, 38904, 39155, 39406, 39657, 39908, 40159, 40410, 40661, 40912, 41163, 41414, 41665, 41916, 42167, 42418, 42669, 42920, 43171, 43422, 43673, 43924, 44175, 44426, 44677, 44928, 45179, 45430, 45681, 45932, 46183, 46434, 46685, 46936, 47187, 47438, 47689, 47940, 48191, 48442, 48693, 48944, 49195, 49446, 49697, 49948, 50199, 50450, 50701, 50952, 51203, 51454, 51705, 51956, 52207, 52458, 52709, 52960, 53211, 53462, 53713, 54228, 54479, 54934, 55301, 55606, 55923, 56174, 56517, 56787, 57038, 57289, 57540, 57857, 58108, 58359, 58610, 58861, 59373, 59627, 59878, 60129, 60380, 60681, 60932, 61183, 61434, 61685, 61951, 62202, 62453, 62704, 62955, 63206, 63457, 63710, 63961, 64327, 64578, 64829, 65080, 65331, 65605, 65856, 66107, 66358, 66609, 66860, 67111, 67362, 67613, 67864, 68115, 68370, 68621, 68872, 69123, 69374, 69625, 69876, 70127, 70378, 70629, 70880, 71131, 71382, 71633, 71884, 72135, 72386, 72637, 72888, 73139, 73390, 73641, 73892, 74143, 74394, 74645, 74896, 75147, 75398, 75649, 75900, 76151, 76402, 76653, 76904, 77155, 77406, 77657, 77908, 78159, 78410, 78661, 78912, 79163, 79414, 79665, 79916]"
1661473999,False,250,250,0.0019490633660478006,0.00200923089745994,0.3058823529411765,0.30024379571169596,0.6801025192223542,0.6860161280240045,0.2824474041486233,0.26444543334786724,0.6719517191296641,0.6771241751974638,2.9425494390033395,414.8994708994709,141.0,0.0,"[1469, 2135, 3231, 5097, 6861, 7236, 7778, 8029, 8440, 9440, 10343, 11733, 12332, 12682, 13009, 13260, 13587, 14060, 14612, 14863, 15114, 15365, 15616, 15867, 16118, 16369, 16620, 16871, 17122, 17373, 17624, 17875, 18126, 18377, 18628, 18879, 19130, 19381, 19632, 19883, 20134, 20385, 20636, 20887, 21138, 21389, 21640, 21891, 22142, 22393, 22644, 22895, 23146, 23397, 23648, 23899, 24150, 24401, 24652, 24903, 25154, 25405, 25656, 25907, 26158, 26409, 26660, 29423, 31284, 31926, 32371, 34404, 35110, 35389, 36060, 36430, 37121, 37430, 37681, 37932, 38435, 39457, 39720, 40004, 40290, 40670, 40984, 41328, 41757, 42008, 42259, 42510, 42761, 43012, 43263, 43514, 43765, 44016, 44267, 44518, 44769, 45020, 45271, 45522, 45773, 46024, 46275, 46526, 46777, 47028, 47279, 47530, 47781, 48032, 48283, 48534, 48785, 49036, 49287, 49538, 49789, 50040, 50291, 50542, 50793, 51044, 51295, 51546, 51797, 52048, 52299, 52550, 52801, 53052, 53303, 53554, 57965, 61390, 62046, 62574, 63040, 63864, 64650, 65407, 67021, 67272, 67523, 68047, 68571, 68822, 69073, 69324, 69575, 69826, 70077, 70328, 70579, 70830, 71081, 71332, 71583, 71834, 72085, 72336, 72595, 72846, 73097, 73389, 73640, 74363, 74614, 74865, 75116, 75367, 75618, 75869, 76120, 76371, 76622, 76873, 77124, 77375, 77626, 77877, 78128, 78379, 78630, 78881, 79132, 79383, 79634, 79885]"
1661474177,False,500,50,0.002453605746441696,0.0025283714206347464,0.3058823529411765,0.30024379571169596,0.6763768206538726,0.6820278802275427,0.2824474041486233,0.26444543334786724,0.6680595057014083,0.6730963904680567,6.476740376740376,534.331081081081,82.5,0.0,"[804, 1305, 1806, 2307, 2854, 3355, 3856, 4357, 4858, 5359, 6482, 6983, 7484, 7985, 8486, 8987, 9488, 9989, 10490, 10991, 11541, 12042, 12543, 13044, 13545, 14046, 14547, 15048, 15549, 16050, 16551, 17052, 17553, 18054, 18555, 19056, 19557, 20058, 20559, 21060, 21561, 22062, 22563, 23064, 23565, 24066, 24567, 25068, 25569, 26070, 26571, 27121, 27631, 28273, 29009, 29510, 30011, 30806, 31307, 31872, 32373, 33092, 33682, 34294, 34795, 35296, 35991, 36492, 36993, 37494, 37995, 38496, 38997, 39498, 39999, 40500, 41001, 41502, 42003, 42504, 43005, 43506, 44007, 44508, 45009, 45510, 46011, 46512, 47013, 47514, 48015, 48516, 49017, 49518, 50019, 50520, 51021, 51522, 52023, 52524, 53025, 53526, 54350, 54851, 56117, 56645, 57146, 57853, 58354, 58855, 59775, 60276, 60777, 61278, 61779, 62280, 62781, 63282, 63783, 64284, 64785, 65286, 65787, 66358, 66859, 67360, 67861, 68362, 68863, 69364, 69865, 70366, 70867, 71368, 71869, 72370, 72871, 73372, 73873, 74374, 74875, 75376, 75877, 76378, 76879, 77380, 77881, 78382, 78883, 79384, 79885]"
1661474344,False,500,100,0.0026592486091142086,0.0027365845381723355,0.3058823529411765,0.30024379571169596,0.6781771582171657,0.6833656310558229,0.2824474041486233,0.26444543334786724,0.6691635443554763,0.6737360770640543,2.586182465274917,572.8394160583941,221.5,0.0,"[1093, 1594, 2095, 2596, 3097, 3598, 4099, 4626, 5127, 6625, 7126, 7654, 8155, 8656, 9157, 9658, 10216, 10717, 11641, 12158, 12659, 13160, 13661, 14162, 14663, 15164, 15665, 16166, 16667, 17168, 17669, 18170, 18671, 19172, 19673, 20174, 20675, 21176, 21677, 22178, 22679, 23180, 23681, 24182, 24683, 25184, 25685, 26186, 26687, 27218, 29134, 29635, 30842, 31343, 31926, 32427, 33325, 34359, 34860, 35361, 36040, 36541, 37044, 37545, 38046, 38547, 39052, 39553, 40054, 40662, 41163, 41664, 42165, 42666, 43167, 43668, 44169, 44670, 45171, 45672, 46173, 46674, 47175, 47676, 48177, 48678, 49179, 49680, 50181, 50682, 51183, 51684, 52185, 52686, 53187, 53688, 54384, 56187, 56890, 57391, 57982, 58483, 59941, 61011, 61512, 62013, 62586, 63087, 63588, 64089, 64590, 65091, 65605, 66546, 67047, 67548, 68049, 68550, 69051, 69552, 70053, 70554, 71055, 71556, 72057, 72558, 73059, 73560, 74061, 74562, 75063, 75564, 76065, 76566, 77067, 77568, 78069, 78570, 79071, 79572]"
1661474518,False,500,250,0.003241663846453968,0.0033227135260275095,0.3058823529411765,0.30024379571169596,0.6819153591298368,0.6856785647308871,0.2824474041486233,0.26444543334786724,0.6705821817189127,0.6741464637313146,2.841574860032509,696.1858407079646,245.0,0.0,"[1193, 1731, 2440, 3252, 3954, 6745, 7291, 7792, 8293, 8794, 9485, 10617, 11723, 12561, 13062, 13563, 14064, 14592, 15093, 15594, 16095, 16596, 17097, 17598, 18099, 18600, 19101, 19602, 20103, 20604, 21105, 21606, 22107, 22608, 23109, 23610, 24111, 24612, 25113, 25614, 26115, 26616, 29423, 31244, 31943, 34416, 35109, 36181, 36683, 37278, 37779, 38280, 38781, 39351, 39852, 40367, 40868, 41782, 42283, 42784, 43285, 43786, 44287, 44788, 45289, 45790, 46291, 46792, 47293, 47794, 48295, 48796, 49297, 49798, 50299, 50800, 51301, 51802, 52303, 52804, 53305, 53806, 54574, 58093, 61313, 62754, 63274, 63844, 64644, 65145, 66954, 67455, 68045, 68590, 69091, 69592, 70093, 70594, 71095, 71596, 72097, 72598, 73099, 73600, 74351, 74852, 75353, 75854, 76355, 76856, 77357, 77858, 78359, 78860, 79361, 79862]"
1661474709,False,1000,50,0.004744558435875557,0.004840842722945616,0.3058823529411765,0.30024379571169596,0.6712133525035944,0.6729886853785084,0.2824474041486233,0.26444543334786724,0.6582905848555662,0.6593383044285749,3.4270095338056508,1058.945945945946,309.0,0.0,"[1111, 2112, 3113, 4114, 5115, 6116, 7117, 8118, 9119, 10120, 11121, 12122, 13123, 14124, 15125, 16126, 17127, 18128, 19129, 20130, 21131, 22132, 23133, 24134, 25135, 26136, 27137, 29242, 30243, 31244, 32245, 33251, 34394, 35395, 36396, 37397, 38398, 39399, 40400, 41401, 42402, 43403, 44404, 45405, 46406, 47407, 48408, 49409, 50410, 51411, 52412, 53413, 54414, 55978, 56979, 57980, 58981, 60241, 61242, 62243, 63244, 64245, 65246, 66460, 67461, 68462, 69463, 70464, 71465, 72466, 73467, 74468, 75469, 76470, 77471, 78472, 79473]"
