seed,const,max_depth,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1667408234,0.5,2,100,0.45,0.0014257518245911417,0.0014801224842060986,0.3058823529411765,0.30024379571169596,0.6737263236856911,0.6821153966368694,0.2824474041486233,0.26444543334786724,0.6678826087630467,0.6765123606594347,15.242850310856053,312.47843137254904,20.5,0.0,"[199, 522, 802, 1134, 1763, 1963, 2413, 2790, 3033, 3249, 3755, 4078, 4360, 4730, 5063, 5273, 5500, 5863, 6159, 6423, 6667, 6984, 7331, 7570, 7770, 7983, 8211, 8542, 8813, 9364, 9631, 9837, 10435, 10723, 10959, 11207, 11496, 11697, 11927, 12147, 12354, 12878, 13083, 13452, 13767, 13992, 14230, 14546, 15022, 15361, 15561, 15901, 16104, 16470, 16728, 17223, 17448, 17679, 18110, 18420, 18632, 18834, 19208, 19555, 19767, 20044, 20327, 20539, 20814, 21014, 21338, 21749, 21973, 22484, 22778, 23003, 23241, 23490, 23701, 23902, 25262, 25653, 25858, 26070, 26270, 26585, 26829, 27033, 27359, 27956, 28600, 28996, 29341, 29573, 29843, 30283, 30654, 30855, 31187, 31458, 31690, 31892, 32277, 32516, 32844, 33074, 33491, 33691, 33906, 34295, 34631, 34855, 35112, 35407, 35786, 36159, 36398, 36693, 36991, 37224, 37474, 37685, 38085, 38289, 38675, 38914, 39135, 39473, 39945, 40296, 40564, 40768, 41329, 41604, 41826, 42063, 42585, 42785, 43394, 43657, 43857, 44072, 44553, 44990, 45319, 45879, 46137, 46405, 46923, 47646, 48096, 48296, 48572, 48793, 49108, 49379, 49754, 50068, 50330, 50530, 50764, 51014, 51339, 51539, 52178, 52381, 52661, 52893, 53095, 53388, 53624, 54417, 54716, 55051, 55306, 55677, 56400, 56623, 56831, 57065, 57361, 57594, 58053, 58258, 58501, 58701, 58975, 59462, 59681, 60173, 60421, 60837, 61071, 61304, 61823, 62171, 62431, 62750, 63065, 63283, 63587, 63838, 64047, 64271, 64742, 64944, 65144, 65444, 65809, 66133, 66385, 66609, 66823, 67162, 67441, 67717, 67985, 68185, 68467, 68762, 68962, 69297, 69513, 69830, 70271, 70681, 71182, 71417, 71617, 71856, 72062, 72274, 72474, 72675, 72960, 73193, 73469, 73742, 74073, 74343, 74740, 75018, 75225, 75425, 75625, 76378, 76709, 76933, 77353, 77553, 77798, 78005, 78432, 78739, 79024, 79342, 79612, 79881]"
1667411552,0.5,2,100,0.5,0.0013533787585172218,0.001406283898819264,0.3058823529411765,0.30024379571169596,0.6740013752578609,0.6827530161905357,0.2824474041486233,0.26444543334786724,0.6687537110106122,0.6775638308492246,3.590492283429086,296.2156133828996,82.5,0.0,"[199, 522, 799, 1004, 1761, 1963, 2413, 2724, 3033, 3248, 3755, 4078, 4360, 4730, 5063, 5273, 5500, 5863, 6120, 6321, 6667, 6927, 7213, 7570, 7770, 7983, 8209, 8542, 8765, 8996, 9364, 9631, 9837, 10143, 10429, 10723, 10959, 11206, 11496, 11697, 11927, 12147, 12354, 12871, 13083, 13452, 13667, 13992, 14230, 14546, 15022, 15361, 15561, 15901, 16104, 16469, 16726, 17222, 17425, 17678, 18110, 18420, 18631, 18834, 19208, 19555, 19765, 20043, 20327, 20539, 20814, 21014, 21266, 21492, 21749, 21973, 22477, 22679, 22922, 23122, 23322, 23522, 23902, 25262, 25653, 25857, 26070, 26270, 26509, 26709, 26909, 27133, 27359, 27956, 28600, 28996, 29215, 29432, 29843, 30283, 30654, 30855, 31187, 31458, 31690, 31892, 32137, 32344, 32545, 32844, 33073, 33439, 33690, 33906, 34293, 34631, 34855, 35111, 35407, 35786, 36158, 36398, 36693, 36991, 37224, 37474, 37682, 38085, 38288, 38675, 38914, 39135, 39473, 39945, 40296, 40564, 40768, 41328, 41604, 41826, 42027, 42254, 42455, 42713, 43394, 43657, 43857, 44072, 44550, 44988, 45250, 45879, 46137, 46405, 46697, 46923, 47409, 47646, 48096, 48296, 48572, 48793, 49108, 49379, 49754, 50068, 50317, 50523, 50764, 51014, 51329, 51529, 52178, 52381, 52583, 52799, 53002, 53388, 53623, 53950, 54417, 54714, 55051, 55306, 55677, 56400, 56623, 56831, 57064, 57361, 57572, 58053, 58258, 58501, 58701, 58975, 59460, 59681, 59896, 60173, 60421, 60659, 60972, 61174, 61495, 61823, 62151, 62431, 62666, 63065, 63283, 63587, 63838, 64046, 64271, 64686, 64941, 65141, 65444, 65809, 66133, 66385, 66609, 66823, 67032, 67320, 67543, 67795, 67998, 68200, 68467, 68762, 68962, 69297, 69513, 69830, 70271, 70677, 71182, 71417, 71617, 71855, 72062, 72273, 72473, 72675, 72960, 73193, 73469, 73741, 74034, 74342, 74740, 75012, 75225, 75425, 75625, 76378, 76709, 76933, 77133, 77353, 77553, 77798, 78004, 78432, 78704, 78905, 79105, 79342, 79610, 79881]"
1667414466,0.5,2,100,0.55,0.001299448593607768,0.0013531689135175742,0.3058823529411765,0.30024379571169596,0.6736263049321748,0.6831905982371694,0.2824474041486233,0.26444543334786724,0.6687354766163119,0.6783920496373362,3.794380952380952,284.5785714285714,75.0,0.0,"[199, 522, 799, 1004, 1359, 1761, 1963, 2413, 2724, 3033, 3248, 3664, 4078, 4360, 4576, 4783, 5063, 5273, 5500, 5816, 6120, 6321, 6667, 6927, 7213, 7567, 7767, 7969, 8209, 8531, 8765, 8996, 9364, 9631, 9836, 10142, 10429, 10723, 10959, 11206, 11496, 11697, 11927, 12147, 12354, 12871, 13082, 13452, 13667, 13992, 14228, 14546, 15022, 15361, 15561, 15901, 16104, 16304, 16529, 16888, 17221, 17421, 17671, 17978, 18246, 18468, 18790, 19012, 19212, 19502, 19709, 20043, 20327, 20539, 20814, 21014, 21266, 21492, 21739, 21973, 22268, 22476, 22679, 22922, 23122, 23322, 23522, 23902, 25262, 25653, 25857, 26069, 26269, 26494, 26694, 26894, 27117, 27358, 27956, 28600, 28910, 29165, 29386, 29589, 29843, 30283, 30569, 30842, 31177, 31458, 31690, 31892, 32137, 32344, 32545, 32844, 33072, 33287, 33491, 33691, 33906, 34293, 34631, 34854, 35089, 35407, 35786, 36110, 36397, 36692, 36991, 37224, 37474, 37681, 38085, 38285, 38675, 38914, 39133, 39394, 39945, 40296, 40564, 40767, 41082, 41328, 41604, 41810, 42027, 42254, 42455, 42713, 42932, 43394, 43656, 43857, 44072, 44547, 44988, 45250, 45526, 45738, 45968, 46283, 46697, 46923, 47409, 47646, 48041, 48245, 48461, 48676, 49107, 49379, 49754, 50065, 50297, 50498, 50764, 51014, 51329, 51529, 52178, 52381, 52583, 52799, 53001, 53388, 53623, 53950, 54417, 54714, 55051, 55306, 55515, 56400, 56623, 56831, 57064, 57361, 57572, 58053, 58257, 58501, 58701, 58975, 59459, 59681, 59896, 60173, 60420, 60659, 60972, 61174, 61495, 61821, 62151, 62431, 62666, 63047, 63283, 63587, 63838, 64046, 64271, 64674, 64941, 65141, 65444, 65791, 66133, 66385, 66609, 66823, 67032, 67320, 67543, 67795, 67997, 68200, 68466, 68762, 68962, 69297, 69512, 69830, 70271, 70657, 71087, 71331, 71533, 71855, 72061, 72273, 72473, 72675, 72960, 73191, 73469, 73741, 74034, 74342, 74740, 75012, 75225, 75425, 75625, 76099, 76378, 76680, 76933, 77133, 77353, 77553, 77798, 78004, 78430, 78702, 78905, 79105, 79335, 79610, 79881]"
1667417111,0.5,2,250,0.45,0.006043875162076761,0.006160832575462737,0.3058823529411765,0.30024379571169596,0.6806026129899356,0.6822154153903857,0.2824474041486233,0.26444543334786724,0.6647750395912305,0.6661697643014902,5.0303434266488924,1343.1016949152545,267.0,0.0,"[499, 1124, 2869, 3799, 5651, 6964, 7835, 8473, 9604, 13681, 15210, 16277, 18399, 19039, 20201, 20847, 21417, 22038, 23044, 23544, 24721, 25488, 26343, 26843, 27553, 29161, 30391, 31742, 32956, 34388, 39448, 41804, 44056, 45105, 47763, 48412, 48912, 49761, 50261, 52298, 53123, 53623, 57180, 58852, 59749, 61145, 62107, 63741, 65739, 68181, 68681, 69932, 70445, 71320, 71837, 74441, 75371, 76439, 76939, 78025, 79156, 79742]"
1667422805,0.5,2,250,0.5,0.0057512706709431085,0.005862830049865119,0.3058823529411765,0.30024379571169596,0.6797149465524785,0.6813277489529287,0.2824474041486233,0.26444543334786724,0.6644166123712857,0.6656620470272839,4.804935726412806,1278.1129032258063,266.0,0.0,"[499, 1124, 2868, 3799, 5460, 6964, 7835, 8473, 9603, 13030, 13662, 15209, 16277, 18399, 19032, 20195, 20803, 21415, 22035, 23044, 23544, 24721, 25488, 26341, 26841, 27548, 29157, 30391, 31742, 32955, 34388, 39448, 41804, 44037, 45105, 47763, 48394, 48894, 49760, 50260, 52298, 53123, 53623, 57180, 58852, 59749, 60321, 61145, 62103, 63741, 65739, 68181, 68681, 69932, 70445, 71319, 71837, 73571, 74441, 75371, 76439, 76939, 78017, 79156, 79742]"
1667428296,0.5,2,250,0.55,0.005340465623018601,0.005439769956866913,0.3058823529411765,0.30024379571169596,0.6797149465524785,0.6810276926923798,0.2824474041486233,0.26444543334786724,0.6645464305508031,0.6655572558282161,4.480042966983266,1182.7313432835822,264.0,0.0,"[499, 1124, 2865, 3798, 5374, 5896, 6964, 7835, 8473, 9603, 11558, 13030, 13660, 15209, 16276, 18398, 19032, 20195, 20803, 21415, 22035, 23044, 23544, 24721, 25488, 26338, 26838, 27338, 27855, 29154, 30376, 31739, 32955, 34388, 34953, 39446, 41803, 43997, 45104, 47762, 48394, 48894, 49758, 50258, 52297, 53122, 53622, 57180, 58852, 59749, 60318, 61145, 62103, 63741, 64538, 65738, 68181, 68681, 69932, 70445, 71316, 71837, 73571, 74441, 75371, 76433, 76933, 78017, 78904, 79742]"
1667433458,0.5,2,500,0.45,0.010709728662359485,0.010915649625481248,0.3058823529411765,0.30024379571169596,0.670013127461399,0.6713758829780584,0.2824474041486233,0.26444543334786724,0.6492354375192032,0.650846521931176,7.322160496708838,2529.8064516129034,345.5,0.0,"[999, 3818, 7809, 13911, 15423, 18595, 21014, 22202, 23202, 24843, 25852, 26852, 27852, 30446, 34373, 39261, 41816, 45351, 47782, 48851, 49851, 51658, 52771, 53771, 57282, 61245, 68391, 71210, 72210, 74423, 75545, 76545, 78201, 79423]"
1667439088,0.5,2,500,0.5,0.01039623500834978,0.010600201823556202,0.3058823529411765,0.30024379571169596,0.6697505782334188,0.671250859536163,0.2824474041486233,0.26444543334786724,0.6491221988783317,0.650873290577776,7.092981186685963,2450.625,345.5,0.0,"[999, 3818, 7808, 10276, 13910, 15308, 18595, 21014, 22201, 23201, 24843, 25852, 26852, 27852, 30446, 34373, 39261, 41813, 45348, 47782, 48851, 49851, 51658, 52771, 53771, 57282, 61245, 68391, 71210, 72210, 74419, 75544, 76544, 78201, 79419]"
1667445617,0.5,2,500,0.55,0.010401950365693568,0.010601987872726135,0.3058823529411765,0.30024379571169596,0.6699506157404513,0.6713133712571107,0.2824474041486233,0.26444543334786724,0.6493689548654723,0.6509519439634303,7.123819040697675,2450.59375,344.0,0.0,"[999, 3818, 7808, 10276, 13910, 15307, 18595, 21013, 22201, 23201, 24841, 25852, 26852, 27852, 30446, 34371, 39261, 41813, 45347, 47782, 48850, 49850, 51658, 52768, 53768, 57279, 61243, 68391, 71209, 72209, 74419, 75544, 76544, 78195, 79418]"
1667452170,0.5,2,1000,0.45,0.015185138880206705,0.015437790419036902,0.3058823529411765,0.30024379571169596,0.6703256860661374,0.6707507657685816,0.2824474041486233,0.26444543334786724,0.6494756910545955,0.6499555208947208,5.345054945054945,3648.0,682.5,0.0,"[1999, 3999, 7973, 15359, 18903, 21183, 23183, 25332, 27332, 30573, 34518, 41936, 45306, 47965, 49965, 51965, 53965, 57348, 61290, 68786, 72165, 74607, 76607, 78607]"
