seed,n_reference_samples,recent_samples_proportion,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1666999042,50,0.1,0.6,0.0004224176567004619,0.00044996519474520117,0.2430205663561918,0.24570857035694194,0.6417828342814278,0.6704757141964118,0.21390692847409307,0.2146294933452455,0.6427373925722352,0.6711061006892471,2.203265384986958,84.82571732199787,38.5,0.0,"[121, 292, 445, 610, 673, 790, 871, 1012, 1105, 1222, 1285, 1438, 1579, 1642, 1693, 1804, 1915, 1972, 2029, 2146, 2209, 2290, 2347, 2434, 2527, 2650, 2725, 2782, 2845, 2908, 2989, 3166, 3223, 3316, 3373, 3442, 3631, 3730, 3835, 3904, 3961, 4012, 4087, 4156, 4207, 4342, 4393, 4462, 4531, 4594, 4681, 4732, 4813, 4936, 5173, 5272, 5335, 5470, 5551, 5662, 5761, 5812, 5881, 5986, 6073, 6160, 6229, 6352, 6427, 6508, 6559, 6610, 6661, 6826, 7003, 7108, 7171, 7228, 7285, 7336, 7393, 7450, 7561, 7702, 7771, 7864, 7945, 7996, 8095, 8176, 8275, 8368, 8449, 8518, 8617, 8686, 8749, 8920, 9001, 9112, 9193, 9262, 9409, 9490, 9547, 9718, 9769, 9844, 9931, 10054, 10123, 10258, 10327, 10402, 10573, 10654, 10717, 10816, 11023, 11086, 11155, 11218, 11281, 11404, 11515, 11626, 11677, 11824, 11875, 12016, 12103, 12154, 12265, 12328, 12403, 12508, 12619, 12706, 12781, 12856, 12913, 12970, 13135, 13216, 13279, 13348, 13411, 13558, 13615, 13684, 13783, 13906, 13963, 14014, 14095, 14236, 14305, 14392, 14449, 14572, 14623, 14800, 14875, 14926, 14983, 15034, 15085, 15148, 15229, 15298, 15427, 15526, 15601, 15724, 15781, 15856, 15979, 16036, 16099, 16234, 16291, 16408, 16519, 16696, 16747, 16798, 16879, 16948, 16999, 17050, 17113, 17386, 17551, 17620, 17683, 17746, 17803, 17860, 17923, 17986, 18055, 18106, 18157, 18214, 18277, 18358, 18415, 18490, 18541, 18604, 18679, 18766, 18853, 18940, 18991, 19066, 19135, 19198, 19285, 19366, 19447, 19540, 19603, 19720, 19825, 19918, 19975, 20032, 20095, 20146, 20233, 20302, 20389, 20506, 20569, 20668, 20731, 20818, 20995, 21202, 21265, 21352, 21427, 21514, 21571, 21670, 21769, 21820, 21925, 21994, 22051, 22126, 22207, 22276, 22375, 22462, 22525, 22582, 22657, 22720, 22789, 22870, 22963, 23086, 23137, 23230, 23335, 23416, 23533, 23590, 23647, 23698, 23827, 23896, 23965, 24034, 24103, 24196, 24367, 24460, 24541, 24616, 24763, 24850, 24937, 24988, 25045, 25120, 25237, 25336, 25459, 25522, 25573, 25642, 25705, 25786, 25885, 25942, 26029, 26110, 26173, 26236, 26293, 26386, 26443, 26494, 26545, 26596, 26647, 26704, 26761, 26812, 26869, 26938, 27049, 27124, 27193, 27298, 27379, 27496, 27571, 27628, 27721, 27790, 27847, 27898, 27955, 28024, 28075, 28174, 28237, 28288, 28339, 28402, 28489, 28564, 28633, 28690, 28747, 28828, 28891, 29002, 29149, 29212, 29263, 29326, 29383, 29446, 29503, 29566, 29647, 29734, 29827, 29914, 29971, 30028, 30121, 30238, 30289, 30358, 30451, 30556, 30619, 30724, 30811, 30880, 30937, 31144, 31393, 31468, 31519, 31588, 31705, 31786, 31855, 31912, 31981, 32062, 32185, 32242, 32335, 32416, 32473, 32524, 32629, 32716, 32809, 32872, 32935, 32986, 33067, 33166, 33259, 33316, 33379, 33484, 33595, 33646, 33775, 33826, 33877, 34018, 34105, 34186, 34315, 34408, 34489, 34564, 34645, 34774, 34831, 34894, 34951, 35002, 35083, 35134, 35227, 35296, 35413, 35470, 35647, 35698, 35761, 35830, 35923, 35986, 36079, 36250, 36337, 36388, 36457, 36544, 36601, 36682, 36781, 36850, 36943, 37006, 37069, 37150, 37219, 37294, 37375, 37438, 37501, 37552, 37603, 37654, 37843, 37930, 37999, 38050, 38119, 38194, 38245, 38296, 38431, 38488, 38707, 38806, 38857, 38932, 38983, 39082, 39181, 39250, 39349, 39412, 39469, 39526, 39583, 39646, 39721, 39808, 39871, 39976, 40051, 40144, 40213, 40294, 40345, 40414, 40567, 40654, 40735, 40816, 40867, 40918, 40969, 41062, 41125, 41206, 41293, 41386, 41455, 41548, 41605, 41692, 41779, 41848, 41935, 41992, 42049, 42142, 42193, 42250, 42313, 42364, 42427, 42502, 42577, 42682, 42769, 42898, 43111, 43234, 43303, 43378, 43447, 43504, 43633, 43690, 43747, 43870, 43921, 44092, 44143, 44284, 44407, 44536, 44587, 44668, 44791, 44998, 45091, 45172, 45259, 45310, 45385, 45448, 45523, 45574, 45643, 45706, 45793, 45958, 46015, 46078, 46171, 46228, 46369, 46426, 46477, 46546, 46609, 46696, 46759, 46816, 46891, 46942, 46999, 47056, 47107, 47158, 47209, 47260, 47311, 47422, 47485, 47542, 47653, 47704, 47785, 47890, 47941, 48040, 48157, 48208, 48295, 48370, 48433, 48514, 48613, 48670, 48739, 48790, 48853, 48904, 48997, 49084, 49249, 49360, 49411, 49522, 49585, 49654, 49717, 49774, 49855, 49906, 49957, 50068, 50125, 50188, 50239, 50362, 50461, 50512, 50581, 50680, 50761, 50848, 50899, 51028, 51193, 51274, 51337, 51412, 51463, 51532, 51583, 51640, 51757, 51850, 51931, 52012, 52153, 52210, 52285, 52336, 52417, 52474, 52525, 52582, 52651, 52720, 52777, 52834, 52939, 53008, 53059, 53182, 53305, 53362, 53413, 53536, 53683, 53746, 53857, 53962, 54067, 54148, 54301, 54364, 54439, 54556, 54613, 54664, 54745, 54910, 54967, 55024, 55087, 55180, 55231, 55294, 55357, 55552, 55633, 55684, 55825, 55954, 56017, 56074, 56215, 56350, 56425, 56506, 56587, 56704, 56809, 56950, 57055, 57118, 57223, 57280, 57355, 57418, 57595, 57658, 57709, 57778, 57859, 57952, 58039, 58114, 58219, 58288, 58339, 58402, 58477, 58564, 58693, 58816, 58909, 58966, 59029, 59080, 59137, 59206, 59263, 59326, 59401, 59524, 59581, 59632, 59701, 59764, 59869, 59926, 60061, 60148, 60259, 60310, 60439, 60496, 60553, 60670, 60751, 60886, 61051, 61168, 61231, 61330, 61399, 61480, 61615, 61708, 61879, 61954, 62077, 62164, 62281, 62488, 62557, 62662, 62791, 62842, 62893, 63016, 63067, 63274, 63349, 63424, 63481, 63574, 63661, 63724, 63811, 63898, 63949, 64084, 64207, 64312, 64399, 64462, 64573, 64708, 64879, 64966, 65059, 65158, 65251, 65326, 65389, 65482, 65551, 65650, 65731, 65782, 65863, 65920, 66001, 66136, 66235, 66292, 66355, 66430, 66481, 66616, 66685, 66952, 67015, 67102, 67171, 67234, 67321, 67432, 67507, 67558, 67657, 67714, 67771, 67858, 67921, 67972, 68059, 68116, 68263, 68326, 68443, 68548, 68701, 68764, 68833, 68968, 69043, 69154, 69253, 69382, 69505, 69574, 69667, 69736, 69823, 70012, 70117, 70240, 70351, 70456, 70525, 70630, 70765, 70840, 70897, 70972, 71035, 71104, 71179, 71236, 71287, 71446, 71527, 71626, 71683, 71752, 71863, 71914, 71977, 72028, 72151, 72238, 72367, 72418, 72541, 72742, 72793, 72880, 72979, 73048, 73099, 73156, 73249, 73342, 73441, 73564, 73621, 73708, 73783, 73864, 73927, 74008, 74107, 74158, 74209, 74272, 74323, 74386, 74473, 74554, 74605, 74770, 74881, 74992, 75043, 75130, 75181, 75262, 75361, 75532, 75601, 75718, 75811, 75916, 76063, 76300, 76399, 76456, 76585, 76636, 76729, 76780, 76885, 76936, 76987, 77050, 77113, 77266, 77323, 77386, 77491, 77602, 77683, 77788, 77863, 77932, 77995, 78112, 78175, 78238, 78325, 78376, 78433, 78496, 78583, 78646, 78703, 78784, 78871, 78958, 79051, 79126, 79201, 79264, 79351, 79432, 79483, 79540, 79627, 79690, 79753, 79816, 79879, 79942]"
1666999240,50,0.1,0.7,0.0011112210121676297,0.001135940837008205,0.2430205663561918,0.24570857035694194,0.6819528661624055,0.6944052009751829,0.21390692847409307,0.2146294933452455,0.6790002684932226,0.6909672747556691,9.219155844155845,202.82142857142856,22.0,0.0,"[307, 418, 571, 790, 967, 1282, 1597, 2044, 2257, 3004, 3073, 3568, 3835, 4012, 4087, 4396, 4465, 4558, 4681, 4732, 4939, 5308, 5779, 5986, 6073, 6352, 6427, 6598, 6721, 6892, 7003, 7108, 7561, 7714, 8095, 8206, 8491, 8752, 8941, 9442, 9601, 9844, 10015, 10468, 10627, 10918, 11227, 11404, 11677, 11824, 11875, 12016, 12169, 12244, 12331, 12712, 12877, 13072, 13135, 13300, 13615, 13822, 13945, 14032, 15295, 15454, 16021, 16102, 16507, 16798, 16987, 17554, 18181, 18490, 18709, 18994, 19231, 19288, 19375, 19582, 19975, 20212, 20305, 20512, 20731, 20818, 21001, 21202, 21349, 21406, 21769, 21904, 22279, 22354, 22585, 22672, 22741, 22870, 23137, 23248, 23365, 23416, 23599, 23662, 23827, 24034, 24139, 24274, 24367, 24460, 24649, 24724, 24883, 24952, 25003, 25522, 25801, 25930, 26275, 26386, 26443, 26494, 26605, 26812, 26869, 26938, 27193, 27298, 27379, 27496, 27571, 27670, 27901, 27976, 28417, 28690, 28747, 29086, 29389, 29446, 29509, 29686, 29839, 29956, 30163, 30238, 30403, 30460, 30553, 30652, 30757, 30982, 31507, 31564, 31735, 31798, 31855, 31912, 32233, 32542, 32635, 32746, 32875, 32968, 33097, 33166, 33319, 33484, 33847, 34084, 34183, 34672, 35047, 35158, 35473, 35698, 35761, 36250, 36373, 36460, 36709, 36814, 36895, 37006, 37237, 37438, 37525, 37660, 37861, 38050, 38293, 38380, 38431, 38890, 38983, 39226, 39283, 39598, 39787, 39856, 40255, 40366, 40429, 40486, 40573, 40714, 40783, 41062, 41143, 41224, 41605, 41692, 41881, 42004, 42373, 42922, 43141, 43246, 43303, 43432, 43639, 43948, 44023, 44182, 44509, 44584, 44683, 44776, 44863, 45034, 45133, 45208, 45391, 45448, 45613, 45706, 45883, 45994, 46117, 46210, 46369, 46732, 46801, 46930, 47071, 47314, 47425, 47680, 47797, 48040, 48187, 48280, 48379, 48544, 48613, 48772, 49063, 49408, 49585, 49654, 49723, 49912, 49981, 50086, 50227, 50524, 50587, 50848, 51223, 51460, 51649, 51736, 52153, 52240, 52321, 52384, 52477, 52552, 52777, 52906, 53059, 53308, 53371, 53686, 53755, 53878, 53941, 55552, 55681, 55870, 55957, 56140, 56251, 56380, 57055, 57118, 57379, 57778, 57979, 58144, 58285, 58834, 59341, 59536, 59797, 60310, 60661, 60790, 61123, 61270, 61711, 61882, 62431, 62560, 62623, 62698, 62845, 62914, 63589, 63658, 63811, 63928, 64435, 64606, 64705, 64882, 65095, 65158, 65251, 65326, 65389, 66016, 66109, 66268, 66355, 66664, 66781, 67018, 67171, 67264, 67813, 67954, 68701, 68836, 69259, 69412, 70117, 70300, 70525, 70654, 70765, 70888, 71275, 71446, 71935, 72028, 72163, 72352, 72403, 72568, 72721, 72814, 72883, 73072, 73159, 73246, 73783, 73864, 74233, 74428, 74509, 74626, 75007, 75130, 75265, 76072, 76261, 76396, 76477, 76558, 76825, 76912, 77347, 77650, 77791, 77896, 78247, 78562, 78637, 79048, 79117, 79432, 79663, 79744, 79813]"
1666999464,50,0.1,0.8,0.00665259351513024,0.0066385524208866075,0.2430205663561918,0.24570857035694194,0.6754391448396574,0.6772144777145714,0.21390692847409307,0.2146294933452455,0.6634439295432357,0.6650046910056723,14.714231499051234,1250.7096774193549,85.0,0.0,"[2149, 9454, 9985, 11026, 15445, 15724, 20509, 24034, 24139, 24460, 24883, 25672, 25963, 26236, 26731, 26812, 27193, 27328, 27901, 28420, 28687, 29392, 31735, 32188, 32875, 32980, 33847, 36460, 36709, 39586, 40339, 42340, 43783, 45646, 46369, 47110, 47425, 49912, 50227, 50368, 52777, 52978, 53059, 53308, 53371, 58144, 60673, 61534, 64705, 65698, 66109, 66268, 66595, 67954, 73159, 74218, 74473, 75040, 75601, 77266, 77863, 79054, 79117, 79630, 79693]"
1666999718,50,0.5,0.6,0.0011334817585989681,0.0011577170719509907,0.2430205663561918,0.24570857035694194,0.6850784522097894,0.6972182284178283,0.21390692847409307,0.2146294933452455,0.6811579896160285,0.6934774671040964,5.935587761674718,204.77777777777777,34.5,0.0,"[257, 308, 463, 644, 721, 876, 1057, 1264, 1913, 1990, 2119, 2196, 2299, 2350, 2401, 2556, 2893, 3022, 3073, 3176, 3253, 3304, 3433, 3484, 3665, 3716, 4001, 4052, 4103, 4388, 4465, 4568, 4619, 4826, 4955, 5032, 5109, 5160, 5211, 5392, 5963, 6196, 6403, 6532, 6583, 6634, 7023, 7126, 7203, 7592, 7721, 7902, 8421, 8498, 8601, 9198, 9379, 9456, 9585, 9714, 10415, 10752, 10829, 10958, 11113, 11476, 11553, 11890, 12123, 12304, 12381, 12484, 12665, 12716, 13313, 13572, 13675, 13752, 13829, 14166, 14399, 14814, 14943, 15046, 15123, 15720, 15797, 16082, 16263, 16366, 16521, 17092, 17663, 17714, 17999, 18128, 18257, 18308, 18567, 18618, 18877, 19006, 19057, 19160, 19315, 19366, 19417, 19702, 20247, 20324, 20479, 20946, 21309, 21646, 21801, 21982, 22345, 22396, 22577, 22862, 22913, 22964, 23015, 23300, 23377, 23584, 23921, 23972, 24101, 24152, 24645, 24904, 25007, 25526, 25681, 26044, 26095, 26250, 26431, 26560, 26611, 26844, 27103, 27232, 27361, 27646, 27827, 27904, 27981, 28032, 28421, 28862, 29017, 29068, 29145, 29274, 29325, 29376, 29479, 29790, 29971, 30074, 30255, 30410, 30695, 31370, 31447, 31576, 31783, 31886, 32379, 32430, 32819, 33000, 33233, 33284, 33517, 33698, 34425, 35282, 35593, 35852, 35981, 36422, 36577, 36940, 36991, 37120, 37275, 37404, 38469, 38520, 38571, 38908, 38985, 39244, 39399, 39606, 39735, 39916, 40071, 40174, 40355, 41082, 41185, 41418, 41755, 41936, 42299, 42480, 42609, 42660, 42815, 43048, 43125, 43826, 44059, 44162, 44265, 44316, 44419, 44730, 44807, 44988, 45039, 45142, 45271, 45348, 45399, 45866, 45995, 46124, 46357, 46486, 46537, 47524, 47679, 47808, 48093, 48196, 48299, 48532, 48583, 49024, 49127, 49178, 49255, 49358, 49591, 49746, 49953, 50316, 50393, 50444, 50599, 51040, 51091, 51480, 51661, 51790, 52023, 52100, 52229, 52306, 52435, 52642, 52745, 53082, 53211, 53262, 53339, 53390, 53597, 53752, 53803, 54036, 54399, 54684, 54761, 54864, 54915, 55070, 55537, 55718, 55873, 56210, 56261, 56312, 56727, 57012, 57089, 57426, 57477, 57606, 57917, 58150, 58539, 58642, 58797, 59186, 59419, 59470, 59833, 59988, 60091, 60272, 60375, 60478, 60685, 60892, 60943, 60994, 61071, 61642, 61901, 61978, 62211, 62288, 62365, 62442, 62597, 62856, 63063, 63556, 63789, 63892, 63969, 64332, 64383, 64642, 64693, 64900, 64977, 65340, 65417, 65676, 66195, 66402, 66505, 66582, 66971, 67178, 68321, 68476, 68657, 68708, 68785, 68836, 68887, 69406, 69899, 70262, 70417, 70910, 71221, 71350, 71583, 71634, 71815, 71892, 72723, 72930, 72981, 73162, 73239, 73368, 73419, 73496, 73625, 73832, 74351, 74506, 74557, 74842, 75049, 75646, 76347, 76424, 76475, 76656, 76707, 76914, 77069, 77120, 77457, 77976, 78261, 78858, 79091, 79506]"
1666999911,50,0.5,0.7,0.010662255583178256,0.010622183967186154,0.2430205663561918,0.24570857035694194,0.6588485341001438,0.659973745077202,0.21390692847409307,0.2146294933452455,0.6437494306757358,0.6443855558588143,0.7465748268593796,2203.8888888888887,2952.0,0.0,"[257, 2336, 3167, 4648, 11043, 12654, 23027, 23546, 25859, 32436, 32773, 37660, 38387, 39244, 40439, 40880, 42179, 43010, 43451, 43658, 45269, 48102, 51481, 52156, 52779, 52908, 53323, 53400, 53607, 63746, 64551, 65668, 68709, 68838, 71359, 75648, 76427, 78584, 79597]"
1667000115,50,0.5,0.8,0.19195474151403388,0.1561480277552041,0.2430205663561918,0.24570857035694194,0.6269300493842596,0.5580046258673501,0.21390692847409307,0.2146294933452455,0.6094751908579478,0.5335037018948884,,,22287.5,0.0,"[48097, 76410]"
1667000328,50,1.0,0.6,0.002301457164243937,0.0023194733627939857,0.2430205663561918,0.24570857035694194,0.6918047133837595,0.6980058761017691,0.21390692847409307,0.2146294933452455,0.6849153700256986,0.6909276937107672,1.384116779089376,410.390625,296.5,0.0,"[508, 1120, 1936, 2140, 3721, 4027, 4078, 4129, 4180, 4690, 4792, 5098, 5353, 5710, 6220, 7087, 7597, 7750, 7852, 8056, 10453, 11014, 11167, 11728, 12238, 12901, 13054, 14482, 15145, 15706, 15808, 16267, 17593, 17746, 17899, 18052, 18511, 19123, 19990, 20551, 20704, 21469, 21673, 21826, 22030, 23050, 23203, 23356, 23407, 23560, 23611, 23662, 24223, 24376, 25498, 25549, 25702, 26212, 27130, 27793, 28711, 29017, 29119, 29578, 29731, 30598, 31312, 31822, 31873, 32842, 33199, 33250, 33454, 33556, 34627, 35800, 36463, 37687, 37840, 38197, 39268, 39472, 39523, 39574, 39778, 40186, 40237, 40390, 40492, 40543, 40951, 41053, 41104, 42328, 42481, 42838, 43297, 43654, 43858, 43960, 44368, 44470, 44725, 44980, 45082, 45133, 45184, 45286, 45490, 46561, 46714, 46816, 47887, 48091, 49162, 49264, 49621, 49672, 52120, 52171, 52324, 52375, 52936, 53038, 53089, 53242, 53344, 53395, 53650, 54313, 54415, 54772, 54874, 55996, 57118, 57679, 57934, 58036, 59260, 59923, 60994, 61096, 61453, 62065, 62677, 63493, 63544, 64666, 64717, 64921, 65380, 65737, 65890, 65992, 66043, 66196, 66247, 66655, 67012, 67165, 67267, 67369, 67420, 68848, 68899, 69154, 69256, 70021, 70123, 71245, 71296, 71449, 71908, 71959, 72112, 72877, 72928, 73285, 73438, 73591, 73999, 74356, 74611, 75376, 75784, 76447, 77059, 77161, 77926, 78538, 78589, 78640, 79150, 79252, 79303]"
1667000519,50,1.0,0.7,0.038010536066421546,0.037294492717384504,0.2430205663561918,0.24570857035694194,0.6611364630868288,0.6559479902481715,0.21390692847409307,0.2146294933452455,0.6449358238416746,0.6408286684874748,23.027403035413155,6827.625,296.5,0.0,"[21826, 27130, 32842, 49162, 52324, 53344, 53395, 68644, 71908, 74356, 76447]"
1667000720,50,1.0,0.8,0.18505969869350505,0.14112021003938235,0.2430205663561918,0.24570857035694194,0.6131399637432019,0.5279489904357066,0.21390692847409307,0.2146294933452455,0.597473306635233,0.5020955872539236,,,24929.5,0.0,"[53344, 76447]"
1667000941,125,0.1,0.6,0.001067559580624301,0.0010961713022903286,0.2430205663561918,0.24570857035694194,0.6796524348315309,0.6940426329936863,0.21390692847409307,0.2146294933452455,0.6771953839271861,0.6913267443524306,1.6382183908045975,196.5862068965517,120.0,0.0,"[137, 263, 417, 585, 781, 921, 1089, 1229, 1355, 1579, 1747, 1901, 2657, 2853, 3007, 3147, 3413, 3623, 3847, 4001, 4183, 4337, 4463, 4631, 4757, 4939, 5121, 5289, 5485, 5667, 5835, 5989, 6185, 6395, 6661, 6871, 7011, 7151, 7347, 7473, 7599, 7725, 7893, 8033, 8187, 8411, 8551, 8691, 8943, 9195, 9335, 9475, 9853, 9993, 10189, 10371, 10693, 10833, 11169, 11295, 11435, 11645, 11869, 12079, 12247, 12429, 12653, 12877, 13297, 13619, 13969, 14235, 14473, 14627, 14795, 14991, 15117, 15327, 15467, 15621, 15747, 16041, 16293, 16559, 16755, 16881, 17161, 17427, 17553, 17721, 17861, 17987, 18113, 18281, 18435, 18813, 18995, 19135, 19359, 19653, 19877, 20087, 20241, 20367, 20521, 20703, 21025, 21207, 21375, 21599, 21823, 22061, 22215, 22383, 22551, 22733, 22873, 22999, 23153, 23363, 23587, 24343, 24637, 24805, 24959, 25085, 25267, 25449, 25575, 25715, 26051, 26177, 26359, 26541, 26737, 26919, 27087, 27227, 27381, 27689, 27815, 27983, 28431, 28697, 28865, 29005, 29145, 29271, 29397, 29635, 29859, 30293, 30951, 31077, 31203, 31399, 31595, 31735, 31889, 32071, 32295, 32477, 32617, 32771, 33415, 33541, 33695, 34003, 34185, 34381, 34507, 34675, 34955, 35291, 35557, 35683, 35949, 36173, 36313, 36439, 36565, 36775, 36901, 37111, 37265, 37489, 37615, 37811, 37937, 38105, 38343, 38511, 38861, 38987, 39113, 39603, 39757, 39883, 40023, 40163, 40359, 40527, 40723, 40863, 41213, 41339, 41493, 41633, 41885, 42095, 42291, 42501, 42655, 42935, 43061, 43327, 43453, 43635, 43775, 44181, 44321, 44545, 44685, 44825, 45007, 45133, 45273, 45399, 45539, 45903, 46393, 46533, 46729, 46869, 47051, 47247, 47429, 47667, 47807, 47975, 48115, 48339, 48549, 48675, 48927, 49053, 49277, 49417, 49711, 49907, 50131, 50369, 50509, 50663, 50915, 51125, 51279, 51461, 51629, 51783, 51979, 52119, 52455, 52637, 52763, 52931, 53057, 53309, 53435, 53589, 53715, 53883, 54121, 54373, 54583, 54723, 54849, 55059, 55213, 55563, 55689, 55857, 55997, 56515, 56711, 56851, 56991, 57285, 57425, 57663, 57859, 57999, 58125, 58293, 58559, 58685, 58839, 59035, 59217, 59343, 59581, 59707, 59945, 60071, 60197, 60687, 60855, 60995, 61135, 61275, 61401, 61597, 61751, 61905, 62171, 62381, 62563, 62731, 62899, 63207, 63389, 63641, 63907, 64103, 64257, 64467, 64607, 64747, 64887, 65013, 65237, 65405, 65559, 65867, 66007, 66147, 66273, 66399, 66651, 66777, 66959, 67169, 67365, 67575, 67771, 67911, 68163, 68345, 68485, 68653, 68793, 68919, 69255, 69381, 69549, 69717, 69899, 70067, 70221, 70361, 70613, 70739, 70977, 71103, 71299, 71481, 71775, 71901, 72027, 72153, 72391, 72573, 72741, 72909, 73049, 73175, 73329, 73497, 73623, 73777, 74225, 74351, 74477, 74631, 74771, 75009, 75261, 75583, 75821, 76073, 76199, 76409, 76549, 76675, 76899, 77137, 77263, 77557, 77683, 77823, 77963, 78523, 78831, 79055, 79223, 79489, 79629, 79755, 79951]"
