seed,const,max_depth,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1668137491,0.5,2,100,0.45,0.0017435175710231662,0.0017688627901778276,0.2430205663561918,0.24570857035694194,0.6911045821091455,0.7003063074326437,0.21390692847409307,0.2146294933452455,0.6865385170705484,0.6954721458248804,3.787449296110713,312.46456692913387,82.5,0.0,"[199, 403, 968, 1201, 1613, 1853, 3004, 3317, 3670, 4039, 4248, 4569, 4805, 5053, 5434, 5711, 5919, 6254, 6538, 6918, 7390, 7636, 7918, 8166, 8428, 8789, 9023, 9319, 9681, 9908, 10131, 10570, 10827, 11136, 11413, 11637, 11935, 12245, 12488, 12694, 12960, 13226, 13427, 13695, 13895, 14388, 14853, 15112, 15554, 15755, 15983, 16292, 16532, 16772, 17058, 17290, 17519, 18040, 18341, 18563, 18794, 19109, 19455, 19940, 20211, 20449, 20935, 21873, 22077, 22293, 22503, 22944, 23144, 23344, 23577, 23857, 24069, 24337, 24613, 24914, 25114, 25494, 25744, 26053, 26277, 26572, 27026, 27244, 27597, 27859, 28066, 28843, 29163, 29611, 30712, 31168, 31439, 31732, 31988, 32882, 33236, 33440, 33676, 33939, 34169, 34382, 34706, 35039, 35318, 35758, 35959, 36197, 36427, 36656, 36856, 37097, 37363, 37628, 37832, 38236, 38437, 38695, 38895, 39131, 39333, 39571, 39809, 40009, 40232, 40440, 40661, 40861, 41158, 41647, 41847, 42109, 42344, 42652, 42861, 43130, 43375, 43614, 43933, 44235, 44624, 44871, 45193, 45425, 45985, 46357, 46586, 46817, 47268, 47481, 47911, 48111, 48563, 48815, 49017, 49217, 49502, 49785, 50148, 50727, 50997, 51550, 51755, 51975, 52175, 52591, 52791, 53094, 53325, 53525, 53725, 54025, 54351, 54655, 54920, 55130, 55791, 56078, 56317, 57020, 57565, 57779, 58040, 58293, 58494, 58698, 58919, 59133, 59398, 59598, 59824, 60183, 60393, 60637, 60847, 61098, 61474, 61700, 61923, 62126, 62460, 62946, 63488, 63793, 63997, 64211, 64434, 64711, 64967, 65270, 65771, 66019, 66333, 66813, 67193, 67470, 67748, 68006, 68254, 68508, 68737, 68976, 69318, 69665, 70039, 70302, 71117, 71671, 71871, 72183, 72389, 72709, 72911, 73176, 73614, 73815, 74048, 74322, 74540, 74845, 75351, 75580, 76290, 76490, 76699, 76967, 77438, 77934, 78173, 78746, 79065, 79326, 79565]"
1668140593,0.5,2,100,0.5,0.0016452533379420406,0.0016716829258427133,0.2430205663561918,0.24570857035694194,0.6905294742764269,0.7004063261861599,0.21390692847409307,0.2146294933452455,0.6864990874931571,0.6959036005276671,3.5842739664301,295.70260223048325,82.5,0.0,"[199, 403, 968, 1201, 1611, 1853, 3004, 3317, 3670, 4039, 4248, 4534, 4805, 5053, 5434, 5711, 5919, 6254, 6538, 6916, 7258, 7497, 7746, 7946, 8166, 8428, 8789, 9023, 9319, 9681, 9908, 10130, 10567, 10827, 11136, 11411, 11637, 11935, 12220, 12488, 12694, 12960, 13226, 13426, 13695, 13895, 14388, 14853, 15112, 15554, 15755, 15983, 16292, 16531, 16772, 17058, 17289, 17501, 18039, 18341, 18563, 18794, 19109, 19455, 19916, 20211, 20448, 20725, 20935, 21393, 21800, 22000, 22208, 22408, 22644, 22901, 23101, 23301, 23521, 23857, 24069, 24337, 24613, 24914, 25114, 25490, 25744, 26053, 26277, 26572, 27026, 27244, 27597, 27859, 28066, 28843, 29163, 29611, 30712, 31161, 31439, 31732, 31988, 32597, 32873, 33236, 33437, 33676, 33939, 34169, 34382, 34706, 35039, 35318, 35757, 35957, 36197, 36425, 36655, 36855, 37097, 37362, 37628, 37832, 38235, 38437, 38695, 38895, 39131, 39332, 39535, 39735, 39947, 40161, 40416, 40661, 40861, 41157, 41647, 41847, 42099, 42344, 42650, 42861, 43128, 43375, 43614, 43932, 44235, 44524, 44745, 44945, 45193, 45424, 45984, 46357, 46586, 46817, 47268, 47473, 47911, 48111, 48351, 48563, 48815, 49017, 49217, 49501, 49785, 50148, 50727, 50997, 51222, 51545, 51755, 51975, 52175, 52590, 52790, 53094, 53325, 53525, 53725, 54025, 54351, 54655, 54920, 55130, 55455, 55713, 55950, 56153, 56607, 57020, 57565, 57779, 58039, 58293, 58494, 58698, 58919, 59133, 59398, 59598, 59824, 60179, 60391, 60634, 60847, 61097, 61474, 61700, 61923, 62126, 62452, 62653, 62946, 63270, 63488, 63793, 63997, 64211, 64434, 64710, 64967, 65253, 65547, 65771, 66019, 66332, 66811, 67187, 67470, 67744, 68006, 68254, 68508, 68737, 68976, 69318, 69665, 70036, 70296, 70983, 71214, 71671, 71871, 72183, 72389, 72709, 72911, 73176, 73614, 73815, 74032, 74241, 74441, 74845, 75348, 75579, 76290, 76490, 76698, 76967, 77432, 77932, 78173, 78659, 79065, 79326, 79534, 79743]"
1668143393,0.5,2,100,0.55,0.001559907867340511,0.001585786845523046,0.2430205663561918,0.24570857035694194,0.689154216415578,0.6992436081765331,0.21390692847409307,0.2146294933452455,0.6850740886561305,0.694795546802855,2.3520853970459954,281.0742049469965,119.5,0.0,"[199, 403, 670, 871, 1086, 1385, 1611, 1853, 2593, 3004, 3317, 3669, 4039, 4243, 4534, 4805, 5052, 5411, 5611, 5814, 6024, 6254, 6535, 6743, 7035, 7258, 7497, 7746, 7946, 8166, 8428, 8788, 9023, 9319, 9681, 9908, 10130, 10567, 10827, 11136, 11411, 11637, 11935, 12220, 12488, 12692, 12959, 13226, 13426, 13694, 13894, 14149, 14388, 14737, 15041, 15554, 15754, 15982, 16292, 16531, 16772, 17058, 17289, 17501, 18039, 18338, 18563, 18794, 19109, 19454, 19916, 20211, 20448, 20704, 20935, 21140, 21393, 21799, 21999, 22208, 22408, 22643, 22891, 23091, 23294, 23521, 23857, 24069, 24335, 24590, 24914, 25114, 25490, 25744, 25953, 26183, 26446, 26646, 27026, 27244, 27597, 27859, 28066, 28499, 28843, 29163, 29401, 29610, 30712, 31161, 31439, 31732, 31970, 32348, 32597, 32873, 33236, 33436, 33640, 33939, 34169, 34376, 34706, 35039, 35318, 35757, 35957, 36197, 36425, 36655, 36855, 37057, 37361, 37619, 37821, 38235, 38437, 38695, 38895, 39131, 39332, 39535, 39735, 39947, 40160, 40416, 40661, 40861, 41157, 41646, 41847, 42099, 42342, 42650, 42861, 43128, 43375, 43614, 43930, 44235, 44515, 44745, 44945, 45185, 45424, 45984, 46208, 46586, 46817, 47268, 47473, 47911, 48111, 48351, 48563, 48789, 48989, 49189, 49392, 49659, 49859, 50148, 50727, 50997, 51222, 51545, 51755, 51963, 52163, 52556, 52761, 52967, 53325, 53525, 53725, 54025, 54351, 54655, 54920, 55130, 55455, 55713, 55950, 56151, 56607, 57020, 57342, 57565, 57779, 58006, 58293, 58494, 58698, 58919, 59133, 59392, 59592, 59824, 60052, 60252, 60632, 60847, 61097, 61474, 61700, 61923, 62125, 62439, 62642, 62940, 63270, 63488, 63793, 63997, 64211, 64434, 64708, 64967, 65170, 65370, 65771, 66018, 66328, 66791, 67187, 67463, 67744, 68006, 68254, 68508, 68737, 68976, 69318, 69663, 69908, 70109, 70309, 70983, 71214, 71671, 71871, 72183, 72389, 72596, 72809, 73094, 73614, 73815, 74032, 74239, 74439, 74844, 75346, 75579, 76288, 76488, 76697, 76967, 77432, 77932, 78150, 78659, 79065, 79326, 79534, 79743]"
1668145902,0.5,2,250,0.45,0.008003063074326435,0.007986318863358308,0.2430205663561918,0.24570857035694194,0.6911920985184722,0.6929424267050072,0.21390692847409307,0.2146294933452455,0.6791942736068751,0.6811347058667816,5.888802054259238,1492.811320754717,253.5,0.0,"[499, 1080, 3473, 3973, 6021, 6561, 7776, 15151, 18078, 18578, 21044, 22015, 23047, 23547, 24726, 25695, 26256, 26756, 27301, 33692, 36818, 39644, 40144, 44657, 45268, 45912, 47504, 48138, 49156, 51107, 52183, 52683, 53183, 53683, 55196, 57181, 57919, 58782, 59836, 60348, 61146, 63957, 64560, 66580, 67446, 68600, 70404, 71865, 72745, 74383, 75444, 76409, 76909, 77967, 78956, 79618]"
1668151758,0.5,2,250,0.5,0.007487028817903357,0.007477860432164364,0.2430205663561918,0.24570857035694194,0.6922422954303932,0.6943801962868038,0.21390692847409307,0.2146294933452455,0.6803876012572431,0.6826553932113472,5.574508560558021,1388.0526315789473,249.0,0.0,"[499, 1079, 3466, 3966, 6021, 6561, 7776, 11548, 15150, 18078, 18578, 21044, 22013, 23047, 23547, 24726, 25695, 26255, 26755, 27301, 33692, 36818, 38026, 39644, 40144, 44657, 45174, 45912, 47504, 48138, 49156, 51099, 52175, 52675, 53175, 53675, 55196, 57181, 57919, 58781, 59835, 60348, 61146, 62094, 63957, 64560, 66247, 66808, 67446, 68590, 70404, 71865, 72745, 74383, 75444, 76409, 76909, 77967, 78937, 79618]"
1668157399,0.5,2,250,0.55,0.006829310798805079,0.006820786473221305,0.2430205663561918,0.24570857035694194,0.693755079077327,0.6958804775895481,0.21390692847409307,0.2146294933452455,0.6823012410482656,0.6845903950946504,5.043475489258622,1255.8253968253969,249.0,0.0,"[499, 1065, 1765, 3466, 3966, 6021, 6561, 7775, 9343, 11284, 15150, 16564, 18078, 18578, 21043, 22013, 23047, 23547, 24726, 25695, 26255, 26755, 27301, 33690, 34668, 36586, 38025, 39644, 40144, 44654, 45174, 45900, 47504, 48137, 49156, 51098, 52175, 52675, 53175, 53675, 54486, 55196, 57180, 57919, 58781, 59834, 60347, 61146, 62094, 63957, 64559, 66066, 66580, 67444, 68590, 70404, 71865, 72745, 74383, 75442, 76165, 76665, 77165, 77966, 78937, 79616]"
1668162702,0.5,2,500,0.45,0.014844450001041863,0.014788606196995268,0.2430205663561918,0.24570857035694194,0.6883540663874477,0.6893667562668,0.21390692847409307,0.2146294933452455,0.6746341805703743,0.6757692213612323,4.66857057861074,2906.185185185185,622.5,0.0,"[999, 3723, 7823, 15322, 18666, 21159, 22159, 23159, 24958, 25983, 26983, 29490, 33715, 40022, 44940, 48180, 49188, 51122, 52194, 53194, 54194, 57231, 61225, 68638, 72039, 74435, 75525, 76525, 78207, 79466]"
1668168692,0.5,2,500,0.5,0.014353901033863203,0.014301068547126778,0.2430205663561918,0.24570857035694194,0.6879914984059511,0.6890416953178721,0.21390692847409307,0.2146294933452455,0.6743407926561168,0.6755216625705174,4.538288027761713,2802.3928571428573,617.5,0.0,"[999, 3723, 7823, 13029, 15321, 18630, 21158, 22158, 23158, 24956, 25974, 26974, 29490, 33715, 40022, 44940, 48179, 49188, 51122, 52193, 53193, 54193, 57231, 61224, 68638, 72039, 74433, 75524, 76524, 78207, 79466]"
1668174576,0.5,2,500,0.55,0.014352691129586799,0.01429743883429756,0.2430205663561918,0.24570857035694194,0.6879539913733825,0.6889291742201663,0.21390692847409307,0.2146294933452455,0.674443352020362,0.675495073138307,4.6167921863968,2802.3928571428573,607.0,0.0,"[999, 3719, 7821, 13029, 15318, 18630, 21158, 22158, 23158, 24953, 25953, 26953, 29489, 33704, 39732, 44940, 48179, 49188, 51122, 52193, 53193, 54193, 57230, 61222, 68638, 72017, 74433, 75524, 76524, 78207, 79466]"
1668180455,0.5,2,1000,0.45,0.018401366922964724,0.01831853889270905,0.2430205663561918,0.24570857035694194,0.6846533725073451,0.6853535037819591,0.21390692847409307,0.2146294933452455,0.6714542002807283,0.6722068430693149,4.421702741702742,3647.904761904762,825.0,0.0,"[1999, 3999, 7965, 15483, 18891, 21300, 23300, 25338, 27338, 29786, 33860, 40134, 45093, 48244, 50244, 52244, 54244, 57354, 61272, 68794, 72103, 74605, 76605, 78605]"
