seed,disjoint_training_windows,n_samples,n_windows,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1670006863,True,50,25,0.05490692807577924,0.02390131071703927,0.6654367221059588,0.6656570106839961,0.7203436501817381,0.6895583214010353,0.6419238618598095,0.6422675803806399,0.6259409900314025,0.6614391737733776,[3595]
1670006873,True,50,50,0.05490692807577924,0.02390131071703927,0.6654367221059588,0.6656570106839961,0.7203436501817381,0.6895583214010353,0.6419238618598095,0.6422675803806399,0.6259409900314025,0.6614391737733776,[3595]
1670006883,True,50,100,0,0,0.6654367221059588,0.6656570106839961,0.7354884899217976,0.6921467121929727,0.6419238618598095,0.6422675803806399,0.6677470164762449,0.65558727550788,[]
1670006892,True,100,25,0.05490692807577924,0.02390131071703927,0.6654367221059588,0.6656570106839961,0.7203436501817381,0.6895583214010353,0.6419238618598095,0.6422675803806399,0.6259409900314025,0.6614391737733776,[3595]
1670006902,True,100,50,0,0,0.6654367221059588,0.6656570106839961,0.7354884899217976,0.6921467121929727,0.6419238618598095,0.6422675803806399,0.6677470164762449,0.65558727550788,[]
1670006912,True,100,100,0,0,0.6654367221059588,0.6656570106839961,0.7354884899217976,0.6921467121929727,0.6419238618598095,0.6422675803806399,0.6677470164762449,0.65558727550788,[]
1670006921,True,250,25,0,0,0.6654367221059588,0.6656570106839961,0.7354884899217976,0.6921467121929727,0.6419238618598095,0.6422675803806399,0.6677470164762449,0.65558727550788,[]
1670006932,True,250,50,0,0,0.6654367221059588,0.6656570106839961,0.7354884899217976,0.6921467121929727,0.6419238618598095,0.6422675803806399,0.6677470164762449,0.65558727550788,[]
1670006942,True,250,100,0,0,0.6654367221059588,0.6656570106839961,0.7354884899217976,0.6921467121929727,0.6419238618598095,0.6422675803806399,0.6677470164762449,0.65558727550788,[]
1670006949,True,500,25,0,0,0.6654367221059588,0.6656570106839961,0.7354884899217976,0.6921467121929727,0.6419238618598095,0.6422675803806399,0.6677470164762449,0.65558727550788,[]
1670006959,True,500,50,0,0,0.6654367221059588,0.6656570106839961,0.7354884899217976,0.6921467121929727,0.6419238618598095,0.6422675803806399,0.6677470164762449,0.65558727550788,[]
1670006966,True,500,100,0,0,0.6654367221059588,0.6656570106839961,0.7354884899217976,0.6921467121929727,0.6419238618598095,0.6422675803806399,0.6677470164762449,0.65558727550788,[]
1670006973,False,100,50,0.0003487902485589455,0.00038142559345334925,0.6654367221059588,0.6656570106839961,0.7125234056614165,0.7171494658001982,0.6419238618598095,0.6422675803806399,0.6387877065088894,0.6826880092033094,"[189, 290, 565, 666, 911, 1012, 1179, 1294, 1395, 1496, 1597, 1698, 1884, 2037, 2197, 2373, 2474, 2594, 2763, 2864, 2965, 3111, 3212, 3313, 3461, 3562, 3663, 3836, 3937, 4047, 4149, 4250, 4400, 4506, 4607, 4885, 4986, 5218, 5319, 5420, 5560, 5665, 5766, 5895, 6027, 6128, 6373, 6474, 6607, 6748, 6849, 6988, 7091, 7192, 7347, 7490, 7591, 7859, 7960, 8101, 8225, 8326, 8584, 8685, 8873, 8974, 9075, 9241, 9342, 9443, 9544, 9685, 9786, 9916, 10025, 10126, 10390, 10491, 10648, 10764, 10865, 11140, 11241, 11342, 11505, 11606, 11708, 11829, 11930, 12238, 12339, 12440, 12541, 12642, 12743, 12844, 12945, 13232, 13333, 13496, 13610, 13711, 13823, 13924, 14025, 14126, 14233, 14372, 14473, 14574, 14748, 14849, 15042, 15143, 15298, 15399, 15500, 15673, 15819, 15920, 16041, 16202, 16362, 16496, 16597, 16893, 16994, 17194, 17295, 17443, 17603, 17704, 17865, 17966, 18067]"
1670006981,False,100,100,0.0006756612356216497,0.0007274454909065193,0.6654367221059588,0.6656570106839961,0.7107060248926094,0.7143958585747329,0.6419238618598095,0.6422675803806399,0.6480184398475088,0.6823919171334052,"[205, 581, 935, 1314, 1515, 1683, 2053, 2253, 2387, 2535, 2776, 3126, 3488, 3595, 3861, 4145, 4246, 4600, 4882, 4983, 5216, 5325, 5464, 5683, 5968, 6069, 6436, 6796, 7170, 7522, 7877, 8250, 8611, 8747, 8976, 9141, 9353, 9697, 10078, 10418, 10805, 11173, 11541, 11900, 12261, 12650, 12751, 12939, 13278, 13425, 13658, 13852, 14012, 14394, 14577, 14768, 15122, 15319, 15490, 15848, 16221, 16558, 16918, 17293, 17455, 17639, 18002]"
1670006991,False,100,250,0.0009894628630172171,0.0007856959283327821,0.6654367221059588,0.6656570106839961,0.6951206079964753,0.6892278885339795,0.6419238618598095,0.6422675803806399,0.6172082309453661,0.6676274011267154,"[707, 1082, 2306, 2521, 3595, 3971, 4130, 4755, 4877, 5203, 5461, 5964, 7306, 8508, 8742, 9132, 9868, 10202, 10328, 10611, 10712, 10933, 11066, 12068, 12688, 13197, 13420, 14915, 15225, 16814]"
