seed,disjoint_training_windows,n_samples,n_windows,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1718562335,True,50,25,0.02096816955901,0.0178494127915366,0.3604390073942162,0.3604712683726272,0.8217387376924368,0.7531583497864324,0.3558536212730926,0.3558927203261205,0.8212491339919962,0.7530605437892167,,,5.142857142857143,0.27586206896551724,"[5005, 10007, 20005, 25005, 30007, 35006, 40005, 45006, 70004, 75005, 80005, 85005, 90004, 95005, 100007, 105005, 110003, 115005, 125004, 130005, 145005, 150005]"
1718562437,True,50,50,0.0206945378057607,0.0178362151185502,0.3604390073942162,0.3604712683726272,0.8157188391209529,0.7528680009807337,0.3558536212730926,0.3558927203261205,0.815434973119753,0.7527755625566886,,,8.571428571428571,0.27586206896551724,"[5008, 10012, 20010, 25008, 30010, 35010, 40008, 45011, 70008, 75008, 80009, 85008, 90007, 95007, 100010, 105008, 110006, 115009, 125006, 130008, 145009, 150008]"
1718562540,True,50,100,0.0365635175650273,0.0251065687653508,0.3604390073942162,0.3604712683726272,0.7992012181745448,0.6617500935568373,0.3558536212730926,0.3558927203261205,0.7993878560903586,0.6617709879407032,,,434.9166666666667,0.5862068965517242,"[25018, 40018, 70019, 75017, 90014, 95018, 105019, 110014, 115020, 125024, 130020, 150018]"
1718562644,True,100,25,0.0207854551085552,0.0178241905720516,0.3604390073942162,0.3604712683726272,0.817719019782432,0.752603460957764,0.3558536212730926,0.3558927203261205,0.8173642222857156,0.7525155649214182,,,13.380952380952381,0.27586206896551724,"[5012, 10017, 20016, 25015, 30014, 35017, 40009, 45017, 70010, 75013, 80014, 85014, 90009, 95013, 100017, 105015, 110007, 115016, 125008, 130014, 145014, 150015]"
1718562752,True,100,50,0.0219743350090607,0.018227760049602,0.3604390073942162,0.3604712683726272,0.8219000425844915,0.7432542294142697,0.3558536212730926,0.3558927203261205,0.8212008034137348,0.7431343818631021,,,28.7,0.31034482758620685,"[10036, 20031, 25027, 30032, 35040, 40019, 45035, 70020, 75025, 80036, 85033, 90017, 95024, 100038, 105034, 110016, 115027, 125021, 130026, 145037, 150030]"
1718562862,True,100,100,0.0,0.0,0.3604390073942162,0.3604712683726272,0.539629385880015,0.4550152917037668,0.3558536212730926,0.3558927203261205,0.5357542963731899,0.4377244408531899,,,,1.0,[]
1718562972,True,250,25,0.0,0.0,0.3604390073942162,0.3604712683726272,0.539629385880015,0.4550152917037668,0.3558536212730926,0.3558927203261205,0.5357542963731899,0.4377244408531899,,,,1.0,[]
1718563106,True,250,50,0.0,0.0,0.3604390073942162,0.3604712683726272,0.539629385880015,0.4550152917037668,0.3558536212730926,0.3558927203261205,0.5357542963731899,0.4377244408531899,,,,1.0,[]
1718563240,True,250,100,0.0,0.0,0.3604390073942162,0.3604712683726272,0.539629385880015,0.4550152917037668,0.3558536212730926,0.3558927203261205,0.5357542963731899,0.4377244408531899,,,,1.0,[]
1718563371,True,500,25,0.0,0.0,0.3604390073942162,0.3604712683726272,0.539629385880015,0.4550152917037668,0.3558536212730926,0.3558927203261205,0.5357542963731899,0.4377244408531899,,,,1.0,[]
