seed,disjoint_training_windows,n_samples,n_windows,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1669740611,True,50,25,0,0,0.6963430513561828,0.7032287965394717,0.7970029352695813,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.791853308719628,0.698781580466811,[]
1669740645,True,50,50,0,0,0.6963430513561828,0.7032287965394717,0.7970029352695813,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.791853308719628,0.698781580466811,[]
1669740679,True,50,100,0,0,0.6963430513561828,0.7032287965394717,0.7970029352695813,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.791853308719628,0.698781580466811,[]
1669740713,True,100,25,0,0,0.6963430513561828,0.7032287965394717,0.7970029352695813,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.791853308719628,0.698781580466811,[]
1669740749,True,100,50,0,0,0.6963430513561828,0.7032287965394717,0.7970029352695813,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.791853308719628,0.698781580466811,[]
1669740786,True,100,100,0,0,0.6963430513561828,0.7032287965394717,0.7970029352695813,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.791853308719628,0.698781580466811,[]
1669740821,True,250,25,0,0,0.6963430513561828,0.7032287965394717,0.7970029352695813,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.791853308719628,0.698781580466811,[]
1669740865,True,250,50,0,0,0.6963430513561828,0.7032287965394717,0.7970029352695813,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.791853308719628,0.698781580466811,[]
1669740906,True,250,100,0,0,0.6963430513561828,0.7032287965394717,0.7970029352695813,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.791853308719628,0.698781580466811,[]
1669740941,True,500,25,0,0,0.6963430513561828,0.7032287965394717,0.7970029352695813,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.791853308719628,0.698781580466811,[]
1669740995,True,500,50,0,0,0.6963430513561828,0.7032287965394717,0.7970029352695813,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.791853308719628,0.698781580466811,[]
1669741038,True,500,100,0,0,0.6963430513561828,0.7032287965394717,0.7970029352695813,0.7287413652314008,0.6326115658062732,0.6675166905378538,0.791853308719628,0.698781580466811,[]
1669741067,False,100,50,0.0009507434550252142,0.0008634173193766054,0.6963430513561828,0.7032287965394717,0.8284963916046876,0.8232438039328198,0.6326115658062732,0.6675166905378538,0.8241868972855952,0.8186154107049706,"[289, 625, 961, 1297, 1633, 1969, 2305, 2641, 2977, 3313, 3649, 3985, 4321, 4657, 4993, 5329, 5665, 6001, 6337, 6673, 7009, 7345, 7681, 8017, 8353, 8689, 9025, 9361, 9697, 10033, 10369, 10705, 11041, 11377, 11713, 12049, 12385, 12721, 13057, 13393, 13729, 14065, 14401, 14737, 15073, 15409, 15745, 16081, 16417, 16753, 17089, 17425, 17760, 18096, 18432, 18768, 19104, 19440, 19776, 20112, 20448, 20784, 21120, 21456, 21792, 22128, 22464, 22800, 23136, 23472, 23808, 24144, 24480, 24816, 25152, 25488, 25824, 26160, 26496, 26832, 27168, 27292, 27393, 27504, 27840, 28176, 28512, 28849, 29184, 29520, 29856, 30192, 30528, 30864, 31200, 31536, 31754, 31855, 31956, 32208, 32516, 32617, 32880, 33216, 33552, 33889, 34224, 34560, 34896, 35232, 35568, 35904, 36240, 36576, 36912, 37248, 37584, 37920, 38256, 38592, 38928, 39264, 39600, 39936, 40272, 40608, 40944, 41280, 41616, 41952, 42288, 42624, 42960, 43296, 43632, 43968, 44304, 44640, 44976]"
1669741102,False,100,100,0.0009777692768577983,0.0008878557001529343,0.6963430513561828,0.7032287965394717,0.8283419037319856,0.8230893160601178,0.6326115658062732,0.6675166905378538,0.8240546638768862,0.8185105647002332,"[289, 625, 961, 1297, 1633, 1969, 2305, 2641, 2977, 3313, 3649, 3985, 4321, 4657, 4993, 5329, 5665, 6001, 6337, 6673, 7009, 7345, 7681, 8017, 8353, 8689, 9025, 9361, 9697, 10033, 10369, 10705, 11041, 11377, 11713, 12049, 12385, 12721, 13057, 13393, 13729, 14065, 14401, 14737, 15073, 15409, 15745, 16081, 16417, 16753, 17089, 17425, 17761, 18097, 18433, 18769, 19105, 19441, 19777, 20113, 20449, 20785, 21121, 21457, 21793, 22129, 22465, 22801, 23137, 23473, 23809, 24145, 24481, 24817, 25153, 25489, 25825, 26161, 26497, 26833, 27169, 27340, 27505, 27841, 28177, 28513, 28849, 29185, 29521, 29857, 30193, 30529, 30865, 31201, 31537, 31873, 32209, 32545, 32881, 33217, 33553, 33889, 34225, 34561, 34897, 35233, 35569, 35905, 36241, 36577, 36913, 37249, 37584, 37921, 38257, 38593, 38929, 39265, 39601, 39937, 40273, 40609, 40945, 41281, 41617, 41953, 42289, 42625, 42961, 43297, 43633, 43969, 44305, 44641, 44977]"
