seed,n_reference_samples,recent_samples_proportion,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1777215829,250,1.0,0.7,0.0447158842282928,0.033061198974807776,0.1666187410139401,0.3001437769581797,0.6137775832968682,0.6307557667062574,0.05179960669216641,0.2646020784679632,0.590659420299664,0.6065393727609049,34.332508436445444,10900.57142857143,317.5,0.0,"[500, 23341, 26855, 41915, 49947, 50198, 53712, 74545, 76553, 76804]"
1777215915,250,1.0,0.8,0.18219666187410138,0.14601487778958552,0.1666187410139401,0.3001437769581797,0.5310120647621429,0.5921735325373507,0.05179960669216641,0.2646020784679632,0.5044222920516191,0.5679014464810007,nan,nan,287.0,0.5,"[26855, 49947]"
1777216002,500,1.0,0.7,0.045337667479319034,0.034713453216922624,0.1666187410139401,0.3001437769581797,0.5746577483278115,0.6125648559104833,0.05179960669216641,0.2646020784679632,0.548254339908239,0.5859155690037373,24.646896551724137,8934.5,362.5,0.0,"[23545, 27052, 49096, 50098, 53605, 54106, 57613, 76651, 77152]"
1777216129,500,1.0,0.8,0.1290908712050176,0.0964722552145194,0.1666187410139401,0.3001437769581797,0.553891354628993,0.5895605426017378,0.05179960669216641,0.2646020784679632,0.5309913602854825,0.5643785093485366,nan,nan,613.0,0.0,"[23545, 27052, 54106]"
