seed,confidence,feature_proportion,n_clusters,n_samples,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1673369501,0.05,0.1,2,100,-0.00011514672983287122,0.0088662981971312,0.9368337939202527,0.7062771417291749,0.9340702724042638,0.9190682984603237,0.48369343660823483,0.5358090812894225,0.5907753686069988,0.6214091411831524,"[199, 299, 399, 499, 599, 699, 799, 899, 999, 1099, 1199, 1299, 1399, 1499, 1599, 1699, 1799, 1899, 1999, 2099, 2199, 2299, 2399, 2499]"
1673369506,0.05,0.1,2,250,-0.0001754616835548549,0.019651708558143615,0.9368337939202527,0.7062771417291749,0.935254638768259,0.8831425187524674,0.48369343660823483,0.5358090812894225,0.5065006034916985,0.644737839640951,"[499, 749, 999, 1249, 1499, 1749, 1999, 2249, 2499]"
1673369510,0.05,0.1,2,500,0.0,0.020627714172917477,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7887879984208448,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.585454386385126,"[999, 1499, 1999, 2499]"
1673369514,0.05,0.1,2,1000,0.0,0.04224240031583104,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7485195420450059,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5600038177046052,[1999]
1673369518,0.05,0.1,3,100,-0.00011514672983287122,0.0088662981971312,0.9368337939202527,0.7062771417291749,0.9340702724042638,0.9190682984603237,0.48369343660823483,0.5358090812894225,0.5907753686069988,0.6214091411831524,"[199, 299, 399, 499, 599, 699, 799, 899, 999, 1099, 1199, 1299, 1399, 1499, 1599, 1699, 1799, 1899, 1999, 2099, 2199, 2299, 2399, 2499]"
1673369523,0.05,0.1,3,250,-0.0001754616835548549,0.019651708558143615,0.9368337939202527,0.7062771417291749,0.935254638768259,0.8831425187524674,0.48369343660823483,0.5358090812894225,0.5065006034916985,0.644737839640951,"[499, 749, 999, 1249, 1499, 1749, 1999, 2249, 2499]"
1673369527,0.05,0.1,3,500,0.0,0.020627714172917477,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7887879984208448,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.585454386385126,"[999, 1499, 1999, 2499]"
1673369531,0.05,0.1,3,1000,0.0,0.04224240031583104,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7485195420450059,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5600038177046052,[1999]
1673369535,0.05,0.01,2,100,5.1494189738922394e-05,0.009646578211091847,0.9368337939202527,0.7062771417291749,0.9380181602842479,0.9281484405842874,0.48369343660823483,0.5358090812894225,0.5353786838800129,0.6337292078484215,"[199, 299, 399, 535, 635, 735, 835, 935, 1048, 1148, 1254, 1354, 1454, 1554, 1654, 1754, 1854, 1968, 2068, 2168, 2268, 2368, 2528]"
1673369540,0.05,0.01,2,250,-0.0001754616835548549,0.019651708558143615,0.9368337939202527,0.7062771417291749,0.935254638768259,0.8831425187524674,0.48369343660823483,0.5358090812894225,0.5065006034916985,0.644737839640951,"[499, 749, 999, 1249, 1499, 1749, 1999, 2249, 2499]"
1673369544,0.05,0.01,2,500,0.0,0.028951177786550875,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7931306750888275,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.588145417535498,"[999, 1499, 2033]"
1673369548,0.05,0.01,2,1000,0.0,0.04224240031583104,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7485195420450059,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5600038177046052,[1999]
1673369553,0.05,0.01,3,100,6.865891965189975e-05,0.009526425101701024,0.9368337939202527,0.7062771417291749,0.9384129490722464,0.9253849190682985,0.48369343660823483,0.5358090812894225,0.5458403060004782,0.6210092076482616,"[199, 299, 428, 536, 636, 736, 836, 936, 1037, 1137, 1237, 1337, 1437, 1537, 1637, 1775, 1875, 1975, 2075, 2175, 2275, 2375, 2475]"
1673369557,0.05,0.01,3,250,-0.0001754616835548549,0.019651708558143615,0.9368337939202527,0.7062771417291749,0.935254638768259,0.8831425187524674,0.48369343660823483,0.5358090812894225,0.5065006034916985,0.644737839640951,"[499, 749, 999, 1249, 1499, 1749, 1999, 2249, 2499]"
1673369561,0.05,0.01,3,500,0.0,0.020627714172917477,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7887879984208448,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.585454386385126,"[999, 1499, 1999, 2499]"
1673369565,0.05,0.01,3,1000,0.0,0.04224240031583104,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7485195420450059,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.5600038177046052,[1999]
1673369570,0.01,0.1,2,100,-0.00011514672983287122,0.0088662981971312,0.9368337939202527,0.7062771417291749,0.9340702724042638,0.9190682984603237,0.48369343660823483,0.5358090812894225,0.5907753686069988,0.6214091411831524,"[199, 299, 399, 499, 599, 699, 799, 899, 999, 1099, 1199, 1299, 1399, 1499, 1599, 1699, 1799, 1899, 1999, 2099, 2199, 2299, 2399, 2499]"
1673369574,0.01,0.1,2,250,-0.0001754616835548549,0.019651708558143615,0.9368337939202527,0.7062771417291749,0.935254638768259,0.8831425187524674,0.48369343660823483,0.5358090812894225,0.5065006034916985,0.644737839640951,"[499, 749, 999, 1249, 1499, 1749, 1999, 2249, 2499]"
