seed,n_samples,outlier_detector_kwargs,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1673372666,100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,-0.00011514672983287122,0.0088662981971312,0.9368337939202527,0.7062771417291749,0.9340702724042638,0.9190682984603237,0.48369343660823483,0.5358090812894225,0.5907753686069988,0.6214091411831524,"[199, 299, 399, 499, 599, 699, 799, 899, 999, 1099, 1199, 1299, 1399, 1499, 1599, 1699, 1799, 1899, 1999, 2099, 2199, 2299, 2399, 2499]"
1673372671,100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,-0.00011514672983287122,0.0088662981971312,0.9368337939202527,0.7062771417291749,0.9340702724042638,0.9190682984603237,0.48369343660823483,0.5358090812894225,0.5907753686069988,0.6214091411831524,"[199, 299, 399, 499, 599, 699, 799, 899, 999, 1099, 1199, 1299, 1399, 1499, 1599, 1699, 1799, 1899, 1999, 2099, 2199, 2299, 2399, 2499]"
1673372675,100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,-0.00011514672983287122,0.0088662981971312,0.9368337939202527,0.7062771417291749,0.9340702724042638,0.9190682984603237,0.48369343660823483,0.5358090812894225,0.5907753686069988,0.6214091411831524,"[199, 299, 399, 499, 599, 699, 799, 899, 999, 1099, 1199, 1299, 1399, 1499, 1599, 1699, 1799, 1899, 1999, 2099, 2199, 2299, 2399, 2499]"
1673372679,100,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,-0.00011514672983287122,0.0088662981971312,0.9368337939202527,0.7062771417291749,0.9340702724042638,0.9190682984603237,0.48369343660823483,0.5358090812894225,0.5907753686069988,0.6214091411831524,"[199, 299, 399, 499, 599, 699, 799, 899, 999, 1099, 1199, 1299, 1399, 1499, 1599, 1699, 1799, 1899, 1999, 2099, 2199, 2299, 2399, 2499]"
1673372683,250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,-0.0001754616835548549,0.019651708558143615,0.9368337939202527,0.7062771417291749,0.935254638768259,0.8831425187524674,0.48369343660823483,0.5358090812894225,0.5065006034916985,0.644737839640951,"[499, 749, 999, 1249, 1499, 1749, 1999, 2249, 2499]"
1673372687,250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,-0.0001754616835548549,0.019651708558143615,0.9368337939202527,0.7062771417291749,0.935254638768259,0.8831425187524674,0.48369343660823483,0.5358090812894225,0.5065006034916985,0.644737839640951,"[499, 749, 999, 1249, 1499, 1749, 1999, 2249, 2499]"
1673372691,250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.4,-0.0001754616835548549,0.019651708558143615,0.9368337939202527,0.7062771417291749,0.935254638768259,0.8831425187524674,0.48369343660823483,0.5358090812894225,0.5065006034916985,0.644737839640951,"[499, 749, 999, 1249, 1499, 1749, 1999, 2249, 2499]"
1673372696,250,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.5,-0.0001754616835548549,0.019651708558143615,0.9368337939202527,0.7062771417291749,0.935254638768259,0.8831425187524674,0.48369343660823483,0.5358090812894225,0.5065006034916985,0.644737839640951,"[499, 749, 999, 1249, 1499, 1749, 1999, 2249, 2499]"
1673372700,500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.2,0.0,0.020627714172917477,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7887879984208448,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.585454386385126,"[999, 1499, 1999, 2499]"
1673372704,500,"{'nu': 0.5, 'kernel': 'rbf', 'gamma': 'auto'}",0.3,0.0,0.020627714172917477,0.9368337939202527,0.7062771417291749,0.9368337939202527,0.7887879984208448,0.48369343660823483,0.5358090812894225,0.48369343660823483,0.585454386385126,"[999, 1499, 1999, 2499]"
