seed,confidence,feature_proportion,n_clusters,n_samples,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1669894022,0.05,0.01,2,500,0.013556755305284027,0.013562803108328855,0.17466720451795079,0.1754915200729607,0.5678131083711876,0.5688128102144975,0.16374663491602023,0.16401815595537933,0.5590754738729896,0.5599494661415559,"[1528, 2028, 2736, 5783, 6297, 6797, 8392, 8892, 11763, 12263, 12763, 17870, 19450, 20600, 22058, 25071, 25675, 27337, 28367, 39637, 40137, 45326, 46566, 47774, 50202, 51216, 53510, 54358, 55715]"
1669894235,0.05,0.01,2,1000,0.01783279946810122,0.017801708262448042,0.17466720451795079,0.1754915200729607,0.5669887928161776,0.5671291018468176,0.16374663491602023,0.16401815595537933,0.5580758401107057,0.5580856510755073,"[1999, 6160, 7160, 8228, 9438, 11279, 12332, 18249, 19893, 20893, 22055, 27259, 39767, 41075, 45428, 46769, 48888, 50431, 51600, 53234, 54869, 55869]"
1669894460,0.05,0.01,3,100,0.002057664189284946,0.002082056994899081,0.17466720451795079,0.1754915200729607,0.5327007734535314,0.5377694371854008,0.16374663491602023,0.16401815595537933,0.5297590891147439,0.5345173495596276,"[290, 618, 718, 824, 962, 1129, 1229, 1401, 1501, 1753, 1876, 1976, 2316, 2439, 2636, 2860, 3008, 5340, 5461, 5568, 6434, 6981, 9263, 9363, 9463, 9811, 9911, 10248, 10366, 10678, 11432, 11665, 11796, 11978, 12223, 12350, 12546, 13099, 13592, 14290, 14390, 14842, 14955, 15086, 15399, 15630, 15916, 16365, 16710, 16859, 16994, 17114, 19545, 20190, 20294, 20394, 20632, 20746, 21056, 21860, 22183, 22296, 22428, 22600, 22901, 23016, 23139, 23574, 23674, 25393, 25566, 25666, 25998, 27661, 28087, 28187, 28545, 28721, 28987, 29663, 29763, 29954, 30125, 30231, 30331, 30616, 30716, 30954, 31065, 31248, 31781, 32093, 32249, 32560, 32668, 32779, 33041, 33149, 33284, 33461, 33575, 33675, 33775, 33875, 34293, 34806, 34955, 35181, 35457, 35561, 35661, 35821, 35945, 36266, 36582, 37199, 37474, 38366, 39106, 39260, 39461, 39563, 39663, 40141, 40241, 40341, 40443, 41072, 41178, 41406, 41577, 41763, 42587, 42735, 42855, 43025, 43134, 43572, 43745, 43855, 43988, 44088, 44537, 46079, 46179, 46279, 47317, 47708, 47808, 47993, 48170, 48314, 48825, 49008, 50293, 50393, 50501, 51818, 51997, 52111, 52920, 53024, 53214, 53326, 54050, 54161, 54262, 54362, 54643, 55246, 55919, 56037, 56184, 56871]"
1669894651,0.05,0.01,3,250,0.005197921023794634,0.005216660928571892,0.17466720451795079,0.1754915200729607,0.5541154392549591,0.5563077678587088,0.16374663491602023,0.16401815595537933,0.548394177417368,0.5504333225830766,"[1263, 1528, 2958, 3211, 3461, 4660, 4910, 6572, 7213, 7499, 8467, 9026, 9414, 9664, 9914, 12446, 12752, 13467, 13796, 14120, 14645, 15164, 16092, 17535, 18042, 18292, 18939, 19189, 19963, 20434, 20730, 20980, 21230, 21927, 22472, 22853, 23335, 24704, 32518, 33599, 35711, 35963, 36221, 36471, 36763, 38501, 38893, 39155, 39512, 40277, 40591, 41069, 42744, 43634, 43980, 44249, 44499, 45016, 45266, 45545, 45798, 46251, 47048, 47419, 48409, 49748, 50641, 51650, 52964, 53260, 53510, 54271, 55280]"
1669894854,0.05,0.01,3,500,0.0078029001733460794,0.007806479485352202,0.17466720451795079,0.1754915200729607,0.5570093130119087,0.5580090148552186,0.16374663491602023,0.16401815595537933,0.549546450251155,0.5504082842012558,"[1587, 3890, 4604, 6542, 7198, 8368, 8959, 9459, 12399, 13697, 14197, 14697, 17339, 17967, 18656, 19156, 19902, 20931, 21438, 22177, 22684, 23184, 24170, 24907, 28298, 28798, 29310, 30711, 31621, 34056, 34582, 38232, 38732, 39232, 40213, 40713, 41213, 41816, 43706, 44242, 44925, 46378, 47029, 48689, 49676, 50894, 51396, 55766, 56336]"
1669895065,0.05,0.01,3,1000,0.011081406798473638,0.011070883621175639,0.17466720451795079,0.1754915200729607,0.5625164424645281,0.5629724468141081,0.16374663491602023,0.16401815595537933,0.5551195060987125,0.5552728535208731,"[1999, 3750, 6219, 7219, 8219, 9219, 10267, 12430, 13772, 14772, 16210, 18361, 19631, 20631, 22127, 25048, 29370, 32102, 34703, 35748, 38081, 40205, 41329, 42435, 43435, 45983, 46983, 48581, 49581, 50585, 51871, 53311, 54311, 55939, 56963]"
1669895272,0.01,0.1,2,100,0.0029048701988351566,0.0029221304367313453,0.17466720451795079,0.1754915200729607,0.5406808495711806,0.5436799551011102,0.16374663491602023,0.16401815595537933,0.5365266742662061,0.5391861180631626,"[1246, 2022, 2122, 2318, 2636, 4172, 4272, 4579, 5693, 5840, 7752, 8416, 8696, 8960, 9432, 10238, 10346, 10705, 10858, 11345, 12233, 12655, 12768, 14443, 14550, 14654, 14786, 14886, 14986, 15086, 16231, 16385, 17432, 17888, 18419, 19426, 20001, 20408, 20834, 21651, 22067, 22288, 22527, 22703, 22859, 23156, 23256, 23931, 24479, 26912, 27210, 27340, 27450, 27550, 27704, 28044, 28197, 28624, 28761, 28896, 29311, 29668, 29874, 30155, 30413, 30548, 30850, 30993, 31131, 32533, 32633, 34253, 35461, 35561, 35712, 35851, 36266, 36628, 36731, 36923, 37233, 37611, 37711, 38353, 38470, 39429, 40303, 40446, 41897, 42018, 42118, 45981, 46145, 46845, 47001, 47485, 47585, 47688, 47989, 48417, 48517, 48943, 49043, 49366, 49744, 50124, 50274, 50410, 50510, 50752, 51174, 51329, 51964, 52213, 52912, 53012, 53963, 54516, 54935, 55089, 55286, 55476, 55576, 55864, 56158, 56351]"
1669895528,0.01,0.1,2,250,0.008253977257249518,0.0082666647759776,0.17466720451795079,0.1754915200729607,0.5626041356086782,0.5640247645439079,0.16374663491602023,0.16401815595537933,0.5532776118230135,0.554675463308801,"[499, 1063, 1313, 5058, 6043, 6408, 6658, 8715, 9260, 9554, 10250, 10649, 11078, 11727, 12194, 12910, 13900, 14150, 15624, 20507, 20950, 21628, 25428, 25691, 26697, 37063, 37313, 37932, 38192, 38763, 39057, 44243, 44498, 45037, 45696, 45946, 46625, 48444, 49428, 49931, 51148, 51576, 51912, 53258, 55585, 55911, 56161]"
1669895806,0.01,0.1,2,500,0.009402416138618478,0.009395999567095309,0.17466720451795079,0.1754915200729607,0.5601662662013084,0.5607275023238684,0.16374663491602023,0.16401815595537933,0.5519496240898133,0.5522824813707998,"[1290, 1790, 2732, 4528, 5816, 6712, 8814, 10662, 13043, 15570, 17025, 17525, 19882, 20430, 21965, 23497, 27315, 28110, 29968, 31013, 32210, 32954, 33561, 35169, 36009, 36509, 38247, 42156, 43382, 43882, 45533, 46033, 46784, 49431, 50183, 50683, 51183, 52578, 53455, 55998, 56498]"
1669896095,0.01,0.1,2,1000,0.015047468973491036,0.015033977720544885,0.17466720451795079,0.1754915200729607,0.5659013978287177,0.5663749408071277,0.16374663491602023,0.16401815595537933,0.5577166840101845,0.5580928136944032,"[1999, 5447, 7373, 8373, 9373, 11252, 12515, 15718, 16928, 17982, 20936, 21936, 25323, 34697, 35697, 36998, 38068, 39068, 40903, 45639, 46639, 47639, 48639, 51557, 55204, 56204]"
