seed,const,max_depth,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1667774924,0.5,2,100,0.45,0.002295761543003593,0.002314424442912438,0.17466720451795079,0.1754915200729607,0.5328060052265113,0.536541733167301,0.16374663491602023,0.16401815595537933,0.5297274373634786,0.5330717735112379,"[247, 568, 1034, 1234, 1451, 1888, 2330, 2559, 2817, 3076, 3278, 3504, 3942, 4200, 4410, 5058, 5264, 5668, 5873, 6448, 6714, 7775, 8952, 9323, 9593, 10295, 10511, 10754, 11285, 11502, 11797, 12075, 12490, 12884, 13437, 13855, 14309, 14948, 15242, 15483, 15979, 16811, 17124, 17358, 18113, 18840, 19273, 19495, 19789, 20383, 20587, 21471, 21896, 22341, 22542, 23107, 23375, 23578, 23778, 23989, 24468, 24797, 25144, 25354, 25623, 25843, 26283, 26483, 26763, 27077, 27324, 27616, 27820, 28020, 28394, 28665, 28997, 29358, 29575, 29820, 30289, 31033, 31336, 31543, 32457, 32749, 33005, 33788, 34014, 34637, 34838, 35206, 35407, 35800, 36080, 36593, 37212, 37425, 37681, 38006, 38232, 38883, 39133, 39670, 40064, 40290, 40706, 40926, 41330, 41579, 41990, 42907, 43154, 43395, 43607, 43863, 44063, 44301, 44546, 44876, 45392, 45593, 45856, 46079, 46279, 46739, 47056, 47319, 48022, 48588, 49304, 49508, 49708, 50283, 50717, 50917, 51126, 51329, 51773, 52016, 52238, 52439, 52786, 53264, 53595, 53883, 54090, 54366, 54756, 54987, 55295, 55520, 55966, 56226, 56705, 56992]"
1667777737,0.5,2,100,0.5,0.0020987200640772245,0.0021194758378405357,0.17466720451795079,0.1754915200729607,0.5293508953470017,0.5336829366680113,0.16374663491602023,0.16401815595537933,0.5267729883914182,0.5306187669111097,"[247, 565, 913, 1172, 1451, 1718, 2010, 2325, 2559, 2817, 3076, 3278, 3504, 3942, 4200, 4410, 5058, 5264, 5668, 5871, 6448, 6714, 7775, 8080, 8950, 9315, 9541, 9792, 10098, 10319, 10522, 10754, 11285, 11502, 11797, 12075, 12490, 12884, 13092, 13437, 13855, 14309, 14948, 15242, 15483, 15926, 16135, 16734, 17124, 17358, 18113, 18840, 19273, 19495, 19789, 20371, 20582, 21471, 21829, 22341, 22541, 23107, 23375, 23578, 23778, 23988, 24468, 24797, 25144, 25347, 25548, 25784, 26008, 26283, 26483, 26763, 27077, 27324, 27614, 27814, 28018, 28394, 28619, 28989, 29358, 29569, 29820, 30203, 31033, 31330, 31533, 31741, 32079, 32456, 32749, 33004, 33786, 34014, 34637, 34838, 35206, 35407, 35799, 36080, 36315, 36593, 37212, 37425, 37681, 38006, 38232, 38495, 38883, 39133, 39670, 40064, 40290, 40706, 40926, 41330, 41579, 41975, 42575, 42907, 43154, 43395, 43607, 43863, 44063, 44301, 44546, 44875, 45392, 45593, 45850, 46052, 46255, 46533, 46739, 47056, 47319, 48022, 48588, 49298, 49506, 49706, 50280, 50717, 50917, 51126, 51329, 51711, 52015, 52227, 52427, 52786, 53263, 53593, 53883, 54090, 54366, 54756, 54987, 55295, 55520, 55966, 56226, 56705, 56992]"
1667780280,0.5,2,100,0.55,0.001949321157627452,0.00197124444366495,0.17466720451795079,0.1754915200729607,0.5255450128908922,0.5303155199326517,0.16374663491602023,0.16401815595537933,0.5230264364785492,0.5273904970627098,"[247, 565, 913, 1172, 1450, 1718, 1919, 2324, 2559, 2817, 3076, 3278, 3503, 3942, 4200, 4410, 5049, 5264, 5668, 5871, 6426, 6714, 7676, 7929, 8950, 9315, 9541, 9792, 10085, 10295, 10511, 10754, 10966, 11285, 11502, 11797, 12075, 12341, 12631, 12884, 13088, 13437, 13855, 14059, 14309, 14805, 15242, 15477, 15926, 16135, 16734, 17124, 17358, 18041, 18840, 19273, 19495, 19789, 19997, 20371, 20582, 21275, 21592, 21829, 22341, 22541, 22866, 23106, 23375, 23578, 23778, 23981, 24468, 24797, 25142, 25347, 25548, 25784, 26006, 26283, 26483, 26763, 27072, 27273, 27483, 27721, 27953, 28204, 28404, 28618, 28989, 29326, 29530, 29820, 30203, 31018, 31302, 31513, 31721, 32077, 32456, 32749, 33004, 33786, 33993, 34194, 34637, 34838, 35206, 35407, 35799, 36080, 36315, 36593, 37165, 37425, 37680, 38006, 38232, 38495, 38883, 39133, 39666, 40064, 40290, 40706, 40926, 41329, 41578, 41975, 42368, 42575, 42907, 43154, 43395, 43607, 43827, 44051, 44301, 44546, 44875, 45377, 45579, 45850, 46051, 46255, 46533, 46739, 47056, 47319, 47735, 48022, 48588, 49296, 49505, 49705, 50247, 50717, 50917, 51126, 51329, 51711, 52015, 52215, 52420, 52747, 53263, 53509, 53881, 54090, 54308, 54512, 54752, 54987, 55295, 55520, 55965, 56226, 56638, 56992]"
1667782598,0.5,2,250,0.45,0.019759019239875823,0.01972043425644983,0.17466720451795079,0.1754915200729607,0.5698475893154673,0.5699002052019573,0.16374663491602023,0.16401815595537933,0.5586362474449075,0.5585681124191528,"[1184, 4635, 6036, 6554, 8945, 11983, 15639, 17593, 25391, 26463, 33430, 39445, 41323, 44209, 49449, 50977, 51481, 54881, 55560, 57014]"
1667787916,0.5,2,250,0.5,0.01877468457611222,0.018740442491253652,0.17466720451795079,0.1754915200729607,0.5689355806163074,0.5690408123892874,0.16374663491602023,0.16401815595537933,0.5574077781270067,0.557380763552738,"[1184, 4635, 6036, 6554, 8945, 11983, 15639, 17593, 25391, 26458, 33430, 35962, 39443, 41322, 44207, 49449, 50977, 51481, 54881, 55560, 57007]"
1667793183,0.5,2,250,0.55,0.017130665072430724,0.01710473840372551,0.17466720451795079,0.1754915200729607,0.5686725011838575,0.5689005033586474,0.16374663491602023,0.16401815595537933,0.5574517592693584,0.5575047557570868,"[1184, 4635, 6036, 6553, 8945, 11979, 13050, 15635, 17593, 25388, 26457, 33429, 35962, 38802, 39442, 41320, 44207, 49449, 50974, 51478, 54876, 55560, 57006]"
1667798331,0.5,2,500,0.45,0.049722012733044524,0.04959047301681955,0.17466720451795079,0.1754915200729607,0.572443306382307,0.5722153042075171,0.16374663491602023,0.16401815595537933,0.561865156425431,0.5615658673303486,"[1335, 6288, 9188, 12097, 20541, 39671, 51117, 55783]"
1667804129,0.5,2,500,0.5,0.049722012733044524,0.04958389603100829,0.17466720451795079,0.1754915200729607,0.572443306382307,0.572162688321027,0.16374663491602023,0.16401815595537933,0.5619105401974699,0.5615297185463386,"[1335, 6288, 9188, 12095, 20532, 39669, 51117, 55783]"
1667809941,0.5,2,500,0.55,0.03959696230948664,0.039511023028219655,0.17466720451795079,0.1754915200729607,0.5706368276128172,0.5706017503551573,0.16374663491602023,0.16401815595537933,0.5605612646254258,0.5604417417123406,"[1331, 3348, 6288, 9188, 12095, 20532, 24788, 39667, 51116, 55781]"
1667815503,0.5,2,1000,0.45,0.04369067315206185,0.04361077495405854,0.17466720451795079,0.1754915200729607,0.5678832628865075,0.5679884946594875,0.16374663491602023,0.16401815595537933,0.5575207198555369,0.5575605007174812,"[1999, 6770, 9887, 12574, 20715, 25217, 40058, 51580, 56088]"
1667820734,0.5,2,1000,0.5,0.04372380167318519,0.04362246737327853,0.17466720451795079,0.1754915200729607,0.5681814195766175,0.5680937264324675,0.16374663491602023,0.16401815595537933,0.5578221417486934,0.5576156047365095,"[1999, 6767, 9886, 12506, 20714, 25211, 40057, 51578, 56080]"
1667825961,0.5,2,1000,0.55,0.043688724415525196,0.04358739011561854,0.17466720451795079,0.1754915200729607,0.5678657242576776,0.5677780311135275,0.16374663491602023,0.16401815595537933,0.5574983396817089,0.5573432627488565,"[1999, 6767, 9886, 12505, 20713, 25126, 40052, 51578, 56080]"
1667831193,0.5,3,100,0.45,0.004285005907329074,0.004296565458148845,0.17466720451795079,0.1754915200729607,0.5517477243629093,0.5535892803900591,0.16374663491602023,0.16401815595537933,0.5460084611738747,0.5477326483294614,"[522, 1194, 1451, 1680, 2019, 3572, 3795, 4310, 5280, 5545, 5890, 6713, 9562, 11407, 11798, 12423, 14306, 14854, 15381, 15930, 16139, 16813, 19327, 19790, 20443, 21996, 22342, 22639, 23005, 23660, 25145, 25358, 25620, 26008, 26491, 26815, 27080, 27321, 27626, 28058, 28618, 29441, 29961, 30300, 31033, 31331, 31543, 32608, 33005, 33651, 33890, 34158, 34826, 35363, 37219, 37442, 37682, 38136, 38913, 39133, 40301, 40853, 41679, 42995, 43196, 43607, 44068, 44595, 45420, 45683, 45984, 46194, 46713, 47359, 49304, 49691, 50934, 51331, 51886, 52425, 52879, 53299, 53832, 54163, 54711, 55054, 55296, 56997]"
1667839550,0.5,3,100,0.5,0.0040408623649502,0.0040525547841702,0.17466720451795079,0.1754915200729607,0.5504674044583194,0.5523791150007893,0.16374663491602023,0.16401815595537933,0.5452947375734447,0.5470786473312689,"[522, 1194, 1450, 1680, 2019, 3572, 3795, 4310, 5265, 5545, 5882, 6713, 9549, 10755, 11407, 11798, 12423, 14306, 14854, 15381, 15930, 16139, 16813, 18119, 19327, 19785, 20443, 21996, 22342, 22637, 23005, 23660, 24500, 24786, 25145, 25358, 25620, 25931, 26491, 26815, 27080, 27321, 27626, 28058, 28617, 29441, 29961, 30300, 31033, 31331, 31543, 32608, 33005, 33651, 33884, 34158, 34825, 35363, 37219, 37442, 37682, 38136, 38883, 39133, 39588, 40301, 40853, 41679, 42995, 43196, 43550, 43935, 44595, 45420, 45683, 45984, 46186, 46713, 47358, 49298, 49690, 50934, 51330, 51886, 52424, 52786, 53299, 53832, 54157, 54711, 55054, 55296, 56994]"
