seed,n_reference_samples,recent_samples_proportion,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1776788489,250,1.0,0.7,0.014215040063243367,0.018218210641621616,0.49478683747421803,0.4938785550740818,0.6227221980434083,0.6578424508486763,0.4816060269829107,0.48041416539006554,0.6108608895486736,0.6511697700117198,3.140039738023401,8534.0,2717.8,0.0,"[12799, 14556, 18070, 19827, 28110, 33381, 38401, 38903, 52206]"
1776788544,250,1.0,0.8,0.02488788389123317,0.022224534978333668,0.49478683747421803,0.4938785550740818,0.5943383730391507,0.5827766949874165,0.4816060269829107,0.48041416539006554,0.5805390617851015,0.5768491457666794,59.366956521739134,25602.0,172.5,0.6,"[12799, 14556, 33381, 38401]"
1776788600,500,1.0,0.7,0.014381138002157165,0.018094688440214203,0.49478683747421803,0.4938785550740818,0.6098359414914754,0.6386360625957954,0.4816060269829107,0.48041416539006554,0.603274136374598,0.63231312185652,4.251131372288034,12775.5,3005.2,0.0,"[13024, 15028, 20038, 28555, 33565, 38575, 39076, 52603]"
1776788668,500,1.0,0.8,0.02112891933316934,0.026680795504002118,0.49478683747421803,0.4938785550740818,0.6004314341400647,0.6272825325940924,0.4816060269829107,0.48041416539006554,0.5913402906887112,0.619981495038831,29.88421052631579,25551.0,513.0,0.4,"[13024, 15028, 20038, 33565, 38575]"
