seed,n_clusters,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1662986522,2,100,0.05,0.000621184383076371,0.0006541000792997956,0.49495714042424355,0.49412454822411866,0.6427990235964198,0.64980036709747,0.4817658322388296,0.48086306910113863,0.6417039161169672,0.6485810913229256,6.654792089249493,226.2629310344828,34.0,0.0,"[287, 481, 810, 940, 1162, 1323, 1765, 2004, 2313, 2600, 2742, 2842, 3077, 3216, 3326, 3844, 4517, 4705, 4926, 5495, 5625, 5923, 6504, 6858, 7090, 7396, 7649, 8044, 8249, 8349, 8722, 9028, 9396, 9693, 9912, 10145, 10264, 10744, 10897, 11163, 11419, 12175, 12412, 12807, 12907, 13024, 13159, 13259, 13414, 13514, 13614, 13740, 13840, 13941, 14041, 14187, 14287, 14387, 14487, 14594, 14904, 15160, 15260, 15486, 15741, 16028, 16150, 16341, 16443, 16615, 16802, 16902, 17256, 17403, 17503, 17628, 17861, 18373, 18528, 18630, 18742, 18927, 19122, 19506, 19606, 20019, 20201, 20564, 20856, 21072, 21438, 21902, 22031, 22533, 22778, 22963, 23097, 23374, 23554, 23924, 24042, 24485, 24743, 25037, 25137, 25477, 25872, 26234, 26963, 27317, 27675, 27871, 28001, 28153, 28330, 28474, 28590, 28691, 28806, 28906, 29011, 29128, 29228, 29400, 29500, 29660, 29760, 29860, 29973, 30073, 30263, 30397, 30567, 30767, 30867, 31047, 31147, 31375, 31487, 31587, 31687, 31787, 31887, 32020, 32120, 32226, 32389, 32489, 32617, 32717, 32937, 33067, 33167, 33284, 33640, 34123, 34274, 34514, 34797, 34898, 35105, 35494, 36020, 36195, 36546, 36647, 36975, 37226, 37326, 37710, 37853, 38157, 38351, 38451, 38648, 38748, 38848, 38958, 39091, 39529, 39629, 39869, 40013, 40289, 40732, 40832, 40932, 41198, 41345, 41510, 42060, 42160, 42320, 42848, 42948, 43267, 43512, 43670, 43836, 44082, 44333, 44720, 44944, 45426, 45616, 45929, 46144, 46244, 46443, 46543, 46803, 47007, 47382, 47559, 47659, 47856, 48083, 48183, 48283, 48574, 48799, 49167, 49528, 49654, 49754, 50250, 50477, 50717, 51026, 51151, 51324, 51725, 51936, 52321, 52457, 52557, 52657, 52780]"
1662986970,2,100,0.005,0.0018279613360696486,0.00186860181278029,0.49495714042424355,0.49412454822411866,0.6558177379983726,0.6585615077487842,0.4817658322388296,0.48086306910113863,0.6506186897952183,0.6533790230600215,22.044196505794844,621.6463414634146,28.2,0.0,"[1767, 2788, 3295, 6513, 8301, 12828, 13159, 13259, 13415, 13561, 13661, 13778, 13878, 14108, 14213, 14352, 14452, 15160, 15495, 15757, 16198, 16615, 17939, 19164, 19512, 19612, 22590, 23105, 23600, 24549, 25046, 26963, 28612, 28849, 29150, 29494, 29692, 30081, 30270, 30573, 31064, 31166, 31660, 31884, 32071, 32426, 32622, 32722, 32983, 33136, 33236, 33336, 34301, 34591, 34805, 36998, 37251, 37868, 38372, 38682, 38782, 39138, 39543, 39650, 40077, 40873, 41354, 41522, 42098, 42851, 43838, 44094, 45459, 45962, 46811, 47565, 47857, 48090, 48190, 48811, 49659, 49793, 50295, 51776, 52348, 52541, 52641, 52742]"
1662987597,2,250,0.05,0.013089243906508846,0.013493498383842202,0.49495714042424355,0.49412454822411866,0.6389388233958408,0.6425530304463829,0.4817658322388296,0.48086306910113863,0.6317520569416024,0.6353801523372388,4.421128989712477,6704.2,1516.4,0.0,"[14354, 14604, 19548, 19798, 29736, 33270, 33520, 38686, 38936, 47008, 48125]"
1662988514,2,250,0.005,0.019114478724295742,0.019836238845832584,0.49495714042424355,0.49412454822411866,0.6287584914943137,0.6329782201449468,0.4817658322388296,0.48086306910113863,0.6206979739641844,0.6246107779308185,13.53029460811562,24341.0,1799.0,0.0,"[14357, 14607, 19569, 33308, 38698, 38948, 48347]"
1662989466,2,500,0.05,0.020590888161421978,0.021612705861575248,0.49495714042424355,0.49412454822411866,0.6185024693927754,0.6238007833935701,0.4817658322388296,0.48086306910113863,0.6112903833855733,0.6160674082611394,31.246704331450093,5185.0,132.75,0.1999999999999999,"[14379, 14879, 19564, 20064, 33376, 38986]"
1662990656,2,500,0.005,0.02408462164361269,0.025367570533805138,0.49495714042424355,0.49412454822411866,0.615380248642307,0.6209624008931444,0.4817658322388296,0.48086306910113863,0.6086281961717434,0.6133352700121292,,,173.75,0.1999999999999999,"[14390, 14890, 19602, 33432, 39045]"
1662991784,2,1000,0.05,0.028360171816754043,0.02984086135447614,0.49495714042424355,0.49412454822411866,0.6083978276912597,0.6134879936420232,0.4817658322388296,0.48086306910113863,0.6008287866460013,0.605398738175433,,,270.5,0.1999999999999999,"[14567, 19764, 33679, 39674]"
1662993388,2,1000,0.005,0.03857677193911987,0.03470395670520562,0.49495714042424355,0.49412454822411866,0.6106874562416031,0.5982364183397355,0.4817658322388296,0.48086306910113863,0.6022326549789853,0.5904073885931257,,,355.6666666666667,0.4,"[14577, 19820, 33762]"
1662994932,3,100,0.05,0.0006384939404391218,0.0006685426249929853,0.49495714042424355,0.49412454822411866,0.6437262285465589,0.6498949798474842,0.4817658322388296,0.48086306910113863,0.6425235266006577,0.6485584409304578,8.501716766001554,231.24669603524228,27.2,0.0,"[287, 482, 811, 1169, 1323, 1765, 2004, 2313, 2601, 2742, 2842, 3077, 3217, 3326, 3844, 4517, 4705, 4926, 5495, 5625, 5923, 6504, 6858, 7092, 7397, 7649, 8044, 8249, 8349, 8722, 9396, 9693, 9912, 10145, 10264, 10744, 10897, 11163, 11419, 12175, 12412, 12807, 12907, 13025, 13159, 13259, 13414, 13514, 13614, 13740, 13840, 13941, 14041, 14190, 14352, 14452, 14569, 14904, 15160, 15260, 15486, 15741, 16031, 16151, 16342, 16443, 16615, 16802, 17256, 17403, 17503, 17628, 17861, 18373, 18530, 18630, 18742, 18947, 19122, 19506, 19606, 20019, 20212, 20572, 20860, 21072, 21438, 21902, 22031, 22535, 22778, 22963, 23097, 23395, 23559, 23924, 24043, 24486, 24744, 25037, 25137, 25477, 25872, 26234, 26963, 27317, 27675, 27871, 28001, 28154, 28347, 28474, 28590, 28691, 28806, 28906, 29011, 29128, 29228, 29400, 29500, 29660, 29760, 29872, 29973, 30073, 30263, 30397, 30567, 30767, 30867, 31047, 31147, 31375, 31487, 31587, 31687, 31787, 31887, 32020, 32120, 32226, 32389, 32489, 32617, 32717, 32937, 33067, 33167, 33285, 33660, 34124, 34274, 34515, 34797, 34898, 35105, 35494, 36046, 36195, 36546, 36647, 36976, 37226, 37326, 37710, 37853, 38157, 38351, 38451, 38648, 38748, 38848, 38958, 39091, 39529, 39629, 39869, 40014, 40289, 40732, 40833, 40933, 41198, 41345, 41520, 42060, 42160, 42320, 42848, 42948, 43267, 43670, 43836, 44082, 44333, 44720, 44944, 45426, 45618, 45929, 46144, 46244, 46443, 46543, 46803, 47007, 47382, 47559, 47659, 47856, 48083, 48183, 48283, 48574, 48799, 49167, 49528, 49654, 49754, 50250, 50477, 50717, 51027, 51151, 51325, 51725, 51936, 52321, 52457, 52557, 52657, 52780]"
1662995459,3,100,0.005,0.0018296815678880884,0.001870537073576036,0.49495714042424355,0.49412454822411866,0.6559691183983953,0.6587318106988098,0.4817658322388296,0.48086306910113863,0.6508243175323309,0.6535726241867968,22.04506140806089,621.670731707317,28.2,0.0,"[1767, 2790, 3295, 6513, 8301, 12828, 13159, 13259, 13415, 13561, 13661, 13778, 13878, 14108, 14213, 14352, 14452, 15160, 15495, 15757, 16198, 16615, 17939, 19164, 19512, 19612, 22590, 23105, 23600, 24549, 25046, 26963, 28612, 28849, 29150, 29494, 29692, 30081, 30270, 30573, 31064, 31166, 31660, 31884, 32071, 32426, 32622, 32722, 32983, 33136, 33236, 33336, 34301, 34591, 34805, 36998, 37251, 37868, 38372, 38682, 38782, 39138, 39543, 39650, 40079, 40877, 41354, 41522, 42098, 42851, 43838, 44094, 45459, 45962, 46811, 47565, 47857, 48092, 48192, 48811, 49659, 49793, 50295, 51776, 52350, 52541, 52641, 52744]"
1662996212,3,250,0.05,0.013011833474679046,0.013483176992931566,0.49495714042424355,0.49412454822411866,0.6380873086457131,0.6424394951463659,0.4817658322388296,0.48086306910113863,0.6310063901363108,0.635280238636213,4.418665963617189,6704.0,1517.2,0.0,"[14355, 14605, 19549, 19799, 29736, 33272, 33522, 38686, 38936, 47008, 48125]"
